[1]| 제36편{{{br}}} 생명 운반자
[3]| 생명은 자생적으로 기원되지 않는다. 생명은, (계시되지 않은) {k{k{존재}k}k} {k{k{설계자}k}k}들이 처방한 계획에 따라서 조성되며, 직접 주입으로 또는 지방우주 {k{k{생명}k}k} {k{k{운반자}k}k}들이 작용한 결과로, 거주가능 행성에 출현한다. 이 {k{k{생명}k}k} {k{k{운반자}k}k}들은, 우주 {k{k{아들}k}k}로 구성된 다양한 계보 중에서 가장 흥미롭고 융통성이 있다. 그들은 피조 생명을 설계하고 행성 구체{球體}로 옮기는 일을 맡고 있다. 그리고 이 생명을 그런 새로운 세계에 심은 후에는, 생명의 발달을 촉진시키기 위해 그곳에 긴 기간 머문다.
[4]| {b{b{1. }b}b}{b{b{{k{k{생명}k}k}}b}b}{b{b{ }b}b}{b{b{{k{k{운반자의}k}k}}b}b}{b{b{ }b}b}{b{b{{k{k{기원과}k}k}}b}b}{b{b{ }b}b}{b{b{{k{k{본성}k}k}}b}b}
[5]| 비록 신성한 아들신분 계보에 속하더라도, {k{k{생명}k}k} {k{k{운반자}k}k}들은 독특하고 명확한 유형에 해당되는 우주 {k{k{아들}k}k}인데, 연방우주 통치자들은 지방우주에서 유일하게 이 집단의 지성 생명체를 창조하는 데에만 참여한다. {k{k{생명}k}k} {k{k{운반자}k}k}들은:{k{k{창조주}k}k} {k{k{아들}k}k}, {k{k{우주}k}k} {k{k{어머니}k}k} {k{k{영}k}k}, 그리고 관계된 연방우주의 운명을 지배하는 {k{k{태고}k}k} {k{k{항존자}k}k}들 가운데 지정된 한 명, 이렇게 선재{先在}하는 세 인격체의 자손이다. 오직 이 {k{k{태고}k}k} {k{k{항존자}k}k}들만이, 지성을 지닌 생명체의 소멸{消滅}을 선포할 수 있으며, 이들이 {k{k{생명}k}k} {k{k{운반자}k}k}들의 창조에 참여하는데, 진화하는 세계에 물리적 생명을 확립하는 일은 {k{k{생명}k}k} {k{k{운반자}k}k}들에게 맡겨진다.
[6]| 우리는 {k{k{네바돈}k}k} 우주에서 1억 명의 {k{k{생명}k}k} {k{k{운반자}k}k}가 창조됐다는 기록을 갖고 있다. 생명을 퍼뜨리는 유능한 이 단체는, 진정한 자치{自治} 집단은 아니다. 그들은, {k{k{가브리엘}k}k}, {k{k{아버지}k}k} {k{k{멜기세덱}k}k}, 그리고 {k{k{네바돈}k}k}의 첫 태생 원본 {k{k{생명}k}k} {k{k{운반자}k}k}인 {k{k{남비아}k}k}로 구성된, 생명을_결정하는 3인조의 지시를 받는다. 그러나 부서별로 경영하는 모든 국면에서는 그들이 자치한다.
[7]| {k{k{생명}k}k} {k{k{운반자}k}k}는 크게 세 부서로 대별된다:첫째 부서는 상급 {k{k{생명}k}k} {k{k{운반자}k}k}이고, 둘째는 보좌관이며, 셋째는 관리인이다. 첫 부서는 생명 형태화의 다양한 형식에 따라서 열두 개의 전문 집단으로 다시 나뉜다. {k{k{멜기세덱}k}k}들이 이 세 부서의 분리를 초래했으며, 그들은 {k{k{생명}k}k} {k{k{운반자}k}k} 본부 구체에서 그런 목적으로 시험을 지휘했다. {k{k{멜기세덱}k}k}들은 그 후로 계속 {k{k{생명}k}k} {k{k{운반자}k}k}들과 가깝게 연합해 왔으며, 새로운 행성에 생명을 확립하기 위해 나아갈 때마다 항상 동행한다.
[8]| 진화하는 행성이 마침내 빛과 생명에 정착하면, {k{k{생명}k}k} {k{k{운반자}k}k}들은 고등 심의{審議} 기구로서 조직되는데, 이 기구는 그 세계 및 거기 있는 영화롭게 된 존재들의 장차 경영과 발달을 돕기 위해 자문할 수 있는 자격을 갖췄다. 이 {k{k{생명}k}k} {k{k{운반자}k}k}들은, 진화하는 우주에서 후기의 정착된 시대에, 많은 새로운 임무를 맡게 된다.
[9]| {b{b{2. }b}b}{b{b{{k{k{생명}k}k}}b}b}{b{b{ }b}b}{b{b{{k{k{운반자}k}k}}b}b}{b{b{ }b}b}{b{b{{k{k{세계}k}k}}b}b}
[10]| {k{k{멜기세덱}k}k}들은 {k{k{살빙톤}k}k} 회로에 있는 일곱 개의 주요 구체 중에서 넷째 집단을 전반적으로 감독한다. 이 {k{k{생명}k}k} {k{k{운반자}k}k} 세계들은 다음과 같이 지정된다:
[11]| 1. {k{k{생명}k}k} {k{k{운반자}k}k} 본부.
[12]| 2. 생명_계획 구체{球體}.
