[1]| 제48편{{{br}}} 모론시아 생애
[3]| {k{k{하나님}k}k}들은, 거친 동물 본성을 가진 피조물을, 어떤 신비스런 창조적 마술 행위로, 완전해진 영으로 변형시키실 수 없다--적어도 그렇게 하지 않으신다. {k{k{창조주}k}k}들이 완전한 존재를 산출하기를 바랄 때, 그들은 직접 원본을 창조함으로써 그렇게 하지만, 동물에서_기원되는 피조물과 물질 피조물을, 단번에 완전한 존재로 전환시키는 일에는 결코 손대지 않는다.
[4]| 지방우주 생애에서 가지각색의 단계로 연속되는 모론시아 생애는, 물질 필사자가 영 세계의 입구에 도달할 수 있는, 유일하게 가능한 접근로다. 물질 육체가 자연스럽게 소멸되는 죽음이, 무슨 마술을 부려서, 그렇게 단번에, 필사의 물질 정신을 완전하게 된 불멸하는 영으로 전환시킬 수 있단 말인가? 그런 믿음은 무식한 미신, 또는 재미있는 우화에 불과하다.
[5]| 필사 상태와, 생존하는 인간이 나중에 얻는 영{靈} 신분 사이에는, 이 모론시아 과도기가 항상 끼어있다. 우주 진보에서 이 중간 상태는, 다양한 지방 창조계마다 현저히 다르지만, 의도와 목적에서는 모두 매우 비슷하다. {k{k{네바돈}k}k}에 있는 맨션 세계와 상급{上級} 모론시아 세계들의 배열은, {k{k{오르본톤}k}k}의 이 지역에서 모론시아 과도기 체제를 상당히 대표한다.
[6]| {b{b{1. }b}b}{b{b{{k{k{모론시아}k}k}}b}b}{b{b{ }b}b}{b{b{{k{k{물질}k}k}}b}b}
[7]| 모론시아 영역은, 피조물이 실존하는 물질 수준과 영적 수준 사이를 연결하는, 지방우주 구체들이다. 이 모론시아 생애는 {k{k{행성}k}k} {k{k{왕자}k}k}의 초기 시대부터 {k{k{유란시아}k}k}에 알려졌다. 필사자들은 이 과도기 상태를 때때로 배워 왔으며, 그 개념은 왜곡된 형태로 오늘날 종교에 자리잡고 있다.
[8]| 모론시아 구체들은, 필사자가 지방우주의 진보하는 세계들을 거쳐서 상승하는 과도기 국면에 해당한다. 지역 체계의 완결성취자 구체를 둘러싼 일곱 세계만을 맨션 세계라고 부르지만, 성좌 및 우주 본부를 둘러싼 높은 구체들과 함께, 56개의 체계 과도기 거주지{居住地} 전체를, 공통적으로 모론시아 세계라고 부른다. 이 창조계는 지방우주 본부 구체들의 물리적 아름다움과 모론시아의 웅장함을 공유한다.
[9]| 이 세계들은 모두 건축양식 구체이며, 진화된 행성에 있는 원소의 숫자보다 꼭 두 배를 갖고 있다. 주문{注文}에_따라_만들어진 그런 세계들은, 100개의 물리적 구성요소를 갖고 있어서, 중금속과 수정이 풍부할 뿐만 아니라, {i{i{모론시아}i}i} {i{i{물질}i}i}이라고 불리는, 정확하게 100가지 형태의 독특한 에너지 조직을 마찬가지로 소유하고 있다. {k{k{총괄}k}k} {k{k{물리}k}k} {k{k{통제관}k}k}과 {k{k{모론시아}k}k} {k{k{동력}k}k} {k{k{감독관}k}k}들은, 기초 물질 단위의 공전주기를 변경시킬 수 있는 동시에, 이 에너지 결합을 변형시켜서, 이 새로운 물질을 창조할 수 있다.
[10]| 지역 체계에서 초기 모론시아 생애는 너희의 현재 물질 세계의 것과 매우 흡사한데, 성좌의 연구 세계들에서는 물리적 성향이 줄어들고 더 참된 모론시아 성향이 늘어난다. 그리고 {k{k{살빙톤}k}k} 구체들로 진보함에 따라서, 너희는 점점 더 영적 수준에 도달한다.
[11]| {k{k{모론시아}k}k} {k{k{동력}k}k} {k{k{감독관}k}k}들은, 물질 에너지와 영적 에너지의 결합에 영향을 줄 수 있으며, 그렇게 함으로써, 통제하는 영이 겹쳐지도록 허용하는 모론시아 형태의 물질화를 일으킨다. 네가 {k{k{네바돈}k}k}의 모론시아 생애를 거치는 동안, 끈기 있고 능숙한 이 {k{k{모론시아}k}k} {k{k{동력}k}k} {k{k{감독관}k}k}들이, 570가지 모론시아 몸을 너에게 연속으로 제공하게 될 것인데, 이것은 각각 너의 점진적 변형의 한 국면이다. 네가 물질 세계를 떠날 때부터 {k{k{살빙톤}k}k}에서 첫_단계 영으로 구성될 때까지, 너는 별개의 상승하는 모론시아 변화를 정확하게 570번 겪게 될 것이다. 이것들 중에서 여덟 번은 체계에서, 일흔한 번은 성좌에서, 그리고 사백아흔한 번은 {k{k{살빙톤}k}k} 구체들에 머무는 동안에 일어난다.
[12]| 필사자 육신의 생애를 사는 동안에는, 신성한 영이 거의 별개의 존재로서 너에게 내주한다--실제로는 {k{k{만유의}k}k} {k{k{아버지}k}k}께서 증여한 영이 사람에게 침투한다. 그러나 모론시아 생애에서는 그 영이 네 인격의 진짜 일부분이 될 것이며, 570번의 점진적 변형을 연달아 거치는 동안, 너는 피조물 생애의 물질 상태에서 영적 상태로 올라간다.
