[1]| 제55편{{{br}}} 빛과 생명의 구체
[3]| 빛과 생명의 시대는, 시간과 공간의 세계에서 진화로 달성하는 마지막 시대다. 원시인이 살던 초기 시대 이후로, 그런 인간거주 세계는, 이어지는 여러 행성 시대--곧 {k{k{행성}k}k} {k{k{왕자}k}k} 이전 및 이후 시대, {k{k{아담}k}k} 이후 시대, {k{k{집정관}k}k} {k{k{아들}k}k} 이후 시대, 및 증여 {k{k{아들}k}k} 이후 시대--를 지나왔다. 그 다음에 그런 세계는 최고조의 진화 달성, 즉 정착된 빛과 생명의 지위를 위해 준비되는데, 이것은 {k{k{삼위일체}k}k} {k{k{교사}k}k} {k{k{아들}k}k}들이 신성한 진리와 시공우주 지혜를 계속_확장해서 계시하는 것과 더불어, 연달아 행성 사명에 이바지함으로써 이뤄진다. 이런 노력을 기울이면서 최종 행성 시대를 안정시킬 때, {k{k{교사}k}k} {k{k{아들}k}k}들은 반드시 {k{k{찬란한}k}k} {k{k{저녁별}k}k}들의 도움을 받고, {k{k{멜기세덱}k}k}들의 도움도 가끔 받는다.
[4]| {k{k{교사}k}k} {k{k{아들}k}k}들의 최종 행성 사명이 끝날 때, 그들이 개시하는 이 빛과 생명의 시대는, 인간거주 세계들에서 무기한으로 계속된다. 안정된 지위에서 진보하는 각 단계는, {k{k{집정관}k}k} {k{k{아들}k}k}들의 사법 조처에 따라서 일련의 섭리시대들로 분리되겠지만;그런 모든 사법 조처는 순전히 절차상의 문제이며, 어떤 면에서도 행성 사건의 과정을 변경시키지 않는다.
[5]| 연방우주의 주요 회로에서 실존하게 된 행성들만이 계속 존속할 수 있도록 보장받지만, 우리가 아는 한, 빛과 생명에 정착한 이 세계들은 모두, 영원한 미래의 시대를 통해서 내내, 계속 나아가도록 예정돼 있다.
[6]| 진화 세계에서 빛과 생명의 시대가 전개되는 데는 일곱 단계가 있으며, 이와 관련해서 {k{k{영}k}k}과_융합된 필사자 세계는, {k{k{조율사}k}k}와_융합하는 계열의 세계와 똑같은 노선을 따라서 진화한다는 것을 염두에 둬야 한다. 빛과 생명의 이 일곱 단계는 다음과 같다:
[7]| 1. 첫째 단계, 행성 단계.
[8]| 2. 둘째 단계, 체계 단계.
[9]| 3. 셋째 단계, 성좌 단계.
[10]| 4. 넷째 단계, 지방우주 단계.
[11]| 5. 다섯째 단계, 소구역 단계.
[12]| 6. 여섯째 단계, 대구역 단계.
