[1]| 제67편{{{br}}} 행성의 반역
[3]| 과거의 어떤 중대한 시기들에 대한 지식, 그 중에서도 특히 행성에 반역이 발생한 것과 그 결과에 대한 지식 없이는, {k{k{유란시아}k}k}에서 인간 실존과 관련된 문제를 이해할 수 없다. 이 격변이 유기체의 진화 과정을 심각하게 방해하지는 않았더라도, 사회의 진화와 영적 발전 과정을 현저히 변경시켰다. 지구의 초물리적 역사 전체가, 파괴적인 이 재난으로 심하게 영향 받았다.
[4]| {b{b{1. }b}b}{b{b{{k{k{캘리개스챠의}k}k}}b}b}{b{b{ }b}b}{b{b{{k{k{배반}k}k}}b}b}
[5]| {k{k{루시퍼}k}k}의 보좌관인 {k{k{사탄}k}k}이 정기 시찰{視察}의 일환으로 방문하고 있을 때, {k{k{캘리개스챠}k}k}는 30만 년 동안 {k{k{유란시아}k}k}를 책임지고 있었다. 그리고 {k{k{사탄}k}k}이 지구에 도착했을 때, 그의 오만불손한 태도는 너희가 도저히 상상할 수 없을 정도였다. 그는 매우 뛰어난 {k{k{라노난덱}k}k} {k{k{아들}k}k}이었고, 지금도 여전히 그렇다. “그리고 놀랄 것이 없음은, {k{k{사탄}k}k} 자신이 찬란한 빛의 피조물이기 때문이다.”
[6]| 이 시찰 과정에서, 당시에 {k{k{루시퍼}k}k}가 획책했던 “{k{k{자유}k}k} {k{k{선언}k}k}”에 대해, {k{k{사탄}k}k}이 {k{k{캘리개스챠}k}k}에게 알려줬고, 우리가 지금 알고 있는 바와 같이, {k{k{왕자}k}k}는 반역이 공표{公表}되는 즉시 행성을 넘겨주기로 동의했다. 충성스런 우주 인격체들은, 맡은 책임을 이렇게 계획적으로 배반한 것 때문에, {k{k{캘리개스챠}k}k} {k{k{왕자}k}k}를 특별히 경멸했다. {k{k{창조주}k}k} {k{k{아들}k}k}은 이 치욕을 이런 말씀으로 표현했다:“너는 네 지휘자인 {k{k{루시퍼}k}k}를 닮았고, 그의 죄악을 사악하게 이어받았다. 그는 진리에 거하지 않았으므로, 스스로_높아지려 할 때부터 거짓말쟁이였다.”
[7]| 지방우주의 어떤 경영 업무에서든지, 새롭게 사람이 거주하게 된 세계에서, 진화하는 필사자의 복지와 안내를 책임지는 {k{k{행성}k}k} {k{k{왕자}k}k}에게 맡긴 것보다 더 신성시되는 높은 책무는 없었으리라고 생각한다. 그리고 모든 형태의 악{惡} 중에서, 맡은 책임을 저버리고, 자기를 믿어주는 친구들에게 불충하는 것보다 더 인격 상태를 파괴하는 것은 없다. {k{k{캘리개스챠}k}k}는, 고의로 이런 죄를 범하면서, 자기 인격을 너무나 철저하게 일그러뜨렸기 때문에, 그의 정신은 전과 비슷한 수준으로 결코 회복될 수 없게 됐다.
[8]| 죄를 바라보는 방식에는 여러 가지가 있지만, 우주 철학의 견지에서 본다면, 죄{罪}는 시공우주 실체에 대해 고의로 반항하는, 인격체의 태도다. 실책은 실체에 대한 잘못된 생각이나 왜곡으로 간주될 수 있다. 악{惡}은 우주 실체에 대한 편파적인 깨달음, 또는 부적응{不適應}이다. 그러나 죄는 신성한 실체에 대한 의도적인 저항이며--즉 영적인 진보에 대항하기로 의식적으로 선택하는 것이며--, 반면에 죄악{罪惡}은 공인된 실체에 대해 공개적으로 끊임없이 반항하는 것이고, 포괄적 광기{狂氣}에 가깝도록 인격이 파괴되는 정도를 의미한다.
[9]| 실책{失策}은 지적 예민함의 결핍을;악은 지혜의 부족을;죄는 비참한 영적 빈곤을 암시하지만;죄악은 인격의 통제력이 사라지고 있음을 나타낸다.
[10]| 그리고 죄를 매우 여러 번 선택하고 자주 반복하면, 습관으로 변할 수 있다. 습관적인 죄인은 쉽게 죄악을 범하게 되고, 우주와 거기 있는 신성한 실체들 전체에 대항해서 전심으로 반역하게 된다. 모든 종류의 죄가 용서받을 수 있다고 해도, 만성적으로 죄악을 범하는 자가 자신의 악행에 대해서 진심으로 비통함을 체험할지, 아니면 자신의 죄에 대한 용서를 받아들일지, 어느 쪽이든지 우리는 회의적이다.
[11]| {b{b{2. }b}b}{b{b{{k{k{반역이}k}k}}b}b}{b{b{ }b}b}{b{b{{k{k{발발함}k}k}}b}b}
[12]| {k{k{사탄}k}k}의 시찰이 있은 직후에, 그리고 행성 경영 당국이 {k{k{유란시아}k}k}에서 있을 큰 사건을 깨닫기 전에, 북부 대륙이 한겨울을 지내고 있던 어느 날, {k{k{캘리개스챠}k}k}는 동역자 {k{k{달리개스챠}k}k}와 긴 시간 논의했고, 그 후에 {k{k{달리개스챠}k}k}는 {k{k{유란시아}k}k}의 10개 협의회를 특별히 소집했다. 이 집회는, {k{k{캘리개스챠}k}k} {k{k{왕자}k}k}가 자신이 {k{k{유란시아}k}k}의 절대적 주권자임을 선언하려 한다는 발표와 함께 시작됐으며, 행성 정부의 재구성과 경영적 권위를 갖는 이 부서들을 나중에 다시 배치할 때까지, 모든 경영 집단은 모든 기능과 권한을 피신탁인{彼信託人}인 {k{k{달리개스챠}k}k}에게 넘겨줌으로써 자리에서 물러나라고 요구했다.
