[1]| 제70편{{{br}}} 인간 정부의 진화
[3]| 사람은, 생계유지 문제를 부분적으로 해결하자마자, 인간의 접촉을 규제해야 되는 과제에 직면했다. 산업의 발달은, 법, 질서, 및 사회적 조정을 요구했고, 재산의 사유화로 말미암아 정부{政府}가 필요하게 됐다.
[4]| 진화하는 세계에서는, 적개심이 선천적이며;사회를 규제하는 어떤 체계만이 평화를 보장한다. 사회적 규제는 사회의 조직에서 분리될 수 없으며;연합은 다소간의 통제하는 권위를 내포한다. 정부는, 부족, 씨족, 가족, 및 개인의 대립 관계가 조정되기를 강요한다.
[5]| 정부는 무의식적으로 발달한 것이며;시행착오를 거쳐서 진화한다. 정부는 살아남을 가치가 있으며;따라서 정부는 전통이 된다. 무정부 상태는 고통을 증대시키기 때문에, 정부, 즉 상대적인 법과 질서가 서서히 발생됐거나 발생되고 있다. 살기 위해서는 투쟁해야 한다는 강제적 요구는, 문명에 이르기까지 진보하는 길을 따라가도록 글자 그대로 인류를 내몰았다.
[6]| {b{b{1. }b}b}{b{b{{k{k{전쟁의}k}k}}b}b}{b{b{ }b}b}{b{b{{k{k{기원}k}k}}b}b}
[7]| 전쟁은 진화하는 사람의 자연스런 형편과 유산이며;평화는 문명의 발전 정도를 재는 사회의 척도다. 진보하는 인종들이 부분적인 사회화를 이루기 전에, 사람은 대단히 이기적이고, 지나치게 의심이 많으며, 믿을 수 없을 정도로 호전적{好戰的}이었다. 폭력은 자연 법칙이고, 적개심은 자연인의 자동 반응이며, 한편 전쟁은 바로 이런 활동을 집단으로 일으킨 것에 불과하다. 그리고 문명의 구조가 사회 발전에 따른 혼란에 시달릴 때에는 언제 어디서나, 인간의 상호 관계에서 생기는 자극{刺戟}을 폭력으로 조정하려는, 이런 초기 방법으로 반드시 역행하는데, 즉시 파멸을 초래한다.
[8]| 전쟁은 오해와 자극에 대해서 동물적으로 반응하는 것이며;그런 모든 문제와 어려움을 문명화된 방법으로 해결할 때 평화가 따라온다. {k{k{상익}k}k} 인종은, 후대의 타락한 {k{k{아담족속}k}k} 및 {k{k{놋족속}k}k}과 함께, 모두 호전적이었다. {k{k{안돈족속}k}k}은 일찍부터 황금률을 배웠고, 오늘날까지도, 그들의 후손인 {k{k{에스키모인}k}k}은 그 규범을 상당히 많이 지키고 있으며;관습을 철저히 지키기 때문에, 난폭한 적개심은 상당히 적은 편이다.
[9]| {k{k{안돈}k}k}은 자식들에게, 각자 저주하면서 막대기로 나무를 때리게 해서 다툼을 진정시키도록 가르쳤으며;막대기가 먼저 부러지는 쪽이 승자였다. 후대의 {k{k{안돈족속}k}k}은, 다투는 자들로 하여금 공개적인 자리에서 서로를 희롱하고 비웃게 했고, 동시에 관객으로 하여금 박수갈채로 승리자를 결정하게 함으로써, 다툼을 진정시키곤 했다.
[10]| 그러나 사회가 평화로운 기간을 실제로 체험하고, 호전적 풍습을 제재할 정도로 훨씬 더 진화하기까지, 전쟁이라고 할 만한 현상은 일어날 수 없었다. 전쟁이라는 그 개념은 어느 정도 조직됐음을 의미한다.
[11]| 사회의 집단화{集團化}가 출현하면서, 개인의 노여움은 집단의 감정 속에 파묻히기 시작했고, 이것은 부족 간의 평화를 희생시키는 대신, 부족 내부의 평온을 증진시켰다. 그리하여 먼저 집단_내부, 즉 부족이 평화를 누렸고, 그들은 언제나, 외부_집단, 즉 이방인을 싫어하고 미워했다. 일찍부터 사람은 이방인의 피를 흘리는 것을 미덕으로 여겼다.
[12]| 그러나 이것도 처음부터 이뤄진 것은 아니었다. 초기 족장들은 불화를 해결하고 싶을 때, 부족끼리 투석전{投石戰}을 하도록, 적어도 일 년에 한 번은 허용하는 것이 필요함을 종종 발견했다. 그 씨족은 두 무리로 나뉘어 하루 종일 싸웠다. 그리고 이렇게 한 이유는 오직 재미를 위한 것이었고;그들은 그런 싸움을 정말로 즐겼다.
[13]| 전쟁이 지속되는 것은, 사람이 동물에서 진화된 인간이고, 모든 동물은 호전적이기 때문이다. 초기에 전쟁이 일어나게 된 원인 중에는 이런 것들이 있다:
[14]| 1. {i{i{굶주림}i}i}, 양식을 강탈하도록 만듦. 땅의 부족{不足}은 항상 전쟁을 불러일으켰고, 초기에 평화롭던 부족{部族}들이 이런 투쟁 와중에 실제로 멸종됐다.
[15]| 2. {i{i{여자의}i}i} {i{i{부족}i}i} --가사를 돌보는 인력{人力}의 부족을 해결하려는 시도. 여자를 훔치는 것은 항상 전쟁을 일으켰다.
[16]| 3. {i{i{허영심}i}i} --부족의 용맹성을 과시하려는 욕망. 우수한 집단은 열등한 민족들에게 자신의 생활 방식을 강요하기 위해서 싸우려고 했다.
[17]| 4. {i{i{노예}i}i} --노동자 직급을 확보할 필요성.
[18]| 5. {i{i{복수}i}i}는, 자기 부족의 동료를 이웃 부족이 죽게 만들었다고 믿을 때, 전쟁을 일으키는 동기가 됐다. 머리 하나를 집으로 가져올 때까지 계속 애곡{哀哭}했다. 복수는 비교적 현대에 이르기까지 정당하게 받아들여졌다.
[19]| 6. {i{i{오락}i}i} --이런 초기 시대의 젊은이들은 전쟁을 오락처럼 여겼다. 전쟁을 일으킬만한 그럴듯하고 충분한 구실이 없으면, 평화가 답답하게 느껴질 때, 인접한 부족들은 가짜 전쟁을 즐기기 위해서 축제일을 정해 약탈하는 식으로, 다소 친근감을 갖는 전투를 벌이곤 했다.
[20]| 7. {i{i{종교}i}i} --개종시키고자 하는 욕구. 원시 종교들은 모두 전쟁을 인정했다. 다만 최근에 들어와서야 종교가 전쟁을 거부하기 시작했다. 초기 사제계층은 유감스럽게도 대부분 군사력{軍事力}과 손을 잡았다. 오랜 세월 동안 가장 큰 평화 운동 가운데 하나는, 교회와 국가를 분리시키려는 시도였다.
[21]| 이 옛 부족들은, 자기 신{神}이 명령하는 대로, 즉 그들의 족장 또는 주술사{呪術師}의 명령에 따라서 전쟁을 일으켰다. {k{k{히브리인}k}k}은 “싸우시는 {k{k{하나님}k}k}”을 믿었고;그들이 {k{k{미디안족속}k}k}을 침략한 것에 대한 기록은, 고대의 부족 간 전쟁이 지독하게 무자비했음을 전형적으로 설명하며;모든 남자를 학살했고, 나중에는 처녀가 아닌 모든 여자와 모든 남자아이를 학살했던 이 습격은, 20만 년 전 어느 부족 추장이 세운 사회관행에 경의를 표했을지도 모른다. 그리고 이 모든 것은, “{k{k{이스라엘}k}k}의 {k{k{주}k}k}{主} {k{k{하나님}k}k}의 이름”으로 행해졌다.
[22]| 이것은 사회의 진화에 대한--곧 인종 문제에 대한 자연스런 해결작업에 대한--이야기, 즉 이 세상에서 자신의 운명을 풀어나가는 사람에 대한 이야기다. 그런 잔학성은, 책임을 자기 신{神}들에게 돌리려는 인간의 성향에도 불구하고, {k{k{신격}k}k}이 부추긴 것이 아니다.
[23]| 군대가 자비를 베푸는 일은 인류에게 잘 나타나지 않았다. 심지어 {k{k{드보라}k}k}라는 여자가 {k{k{히브리인}k}k}을 다스릴 때에도, 바로 이런 대규모 잔학 행위가 계속됐다. 그 여자의 지휘관들은 이방인과 싸워서 승리했을 때, “모든 무리를 칼로 죽이되;한 사람도 남기지 말라”고 했다.
[24]| “인종의 역사에서 아주 초기에는 독약{毒藥}을 묻힌 무기가 사용됐다. 손상시키기 위한 온갖 종류의 행위가 실행됐다. {k{k{사울}k}k}은 자기 딸 {k{k{미갈}k}k}을 위해서 지불할 지참금으로, {k{k{다윗}k}k}에게 {k{k{블레셋족속}k}k} 100명의 인피{人皮}를 주저함 없이 요구했다.
[25]| 초기의 전쟁은 전체 부족 간 싸움이었지만, 나중에는 두 부족 전체가 싸우는 대신, 두 싸움꾼이 결투를 벌였다. {k{k{다윗}k}k}과 {k{k{골리앗}k}k}이 싸웠던 경우처럼, 두 군대는 각자 자기편을 대표할 수 있는 사람을 뽑아서, 두 군인이 싸운 결과에 전부를 거는 것이 관례가 되기도 했다.
[26]| 전쟁에서 처음으로 개선된 것은 포로 삼는 일이었다. 그 다음에, 여자는 전투 행위에서 제외됐고, 그 후에는 비전투원을 인정하게 됐다. 전투가 점점 복잡해지면서, 평화를 지키기 위해 군대 계급제도와 상비군{常備軍}이 곧 개발됐다. 그런 전사{戰士}들은 여자와 교제하는 것이 일찍부터 금지됐고, 여자는 오래 전부터 싸움에서 제외됐지만, 언제나 군인에게 양식을 공급하고 치료했으며 전투에 참여하도록 설득했다.
[27]| 전쟁을 선포하는 풍습은 큰 진보를 의미했다. 싸울 의사가 있음을 선포하는 그런 일은, 공명정대함이 나타나는 전조{前兆}가 됐고, 그 뒤를 이어 “문명화된” 전쟁 규정이 차츰 개발됐다. 종교적인 장소 근처에서, 그리고 나중에는 특정한 거룩한 날에 싸우지 않는 것이, 아주 일찍부터 관습이 됐다. 그 다음으로는 도피처의 권리가 공인됐으며;정치적 망명자는 보호받았다.
[28]| 그리하여 전쟁은, 원시인 사냥으로부터, 후대의 “문명화된” 국가 간의 약간 더 규율화된 형태로, 점차 진화했다. 그러나 증오하는 사회적 태도를 우호적인 태도로 바꾸는 것은 매우 느리게 이뤄진다.
[29]| {b{b{2. }b}b}{b{b{{k{k{전쟁의}k}k}}b}b}{b{b{ }b}b}{b{b{{k{k{사회적}k}k}}b}b}{b{b{ }b}b}{b{b{{k{k{가치}k}k}}b}b}
[30]| 지난 시대에 있었던 격렬한 전쟁은, 1만 년이 걸려야 자연스럽게 발생될 수 있을 만한 그런 사회적 변화를 일으켰고, 새로운 관념을 쉽게 받아들이도록 만들곤 했다. 전쟁으로 인한 이런 특정한 이점{利點}을 위해서 지불된 무시무시한 대가{代價}는, 그 사회가 잠정적으로 미개한 상태로 돌아간 것이었으며;문명화된 이성은 포기될 수밖에 없다. 전쟁은 심각한 치료법이며, 매우 비싸고 가장 위험하며;어떤 사회적 혼란을 종종 치료하지만, 환자를 죽이는 경우, 즉 그 사회를 파괴시키는 경우도 있다.
[31]| 지속적인 국가 방어의 필요성이, 새롭고 진보된 많은 사회적 적응을 일으킨다. 오늘날 사회는, 여러 유용한 기술 혁신의 유익을 누리는데, 이것들은 처음에 전적으로 군사 목적이었고, 춤은 전쟁 덕분으로 비롯됐으며, 초기 형태의 군사 훈련들 가운데 하나였다.
[32]| 전쟁은 다음과 같은 이유 때문에 지나간 문명에 사회적으로 가치가 있었다:
[33]| 1. 강요된 훈련, 즉 강제적 협동.
[34]| 2. 불굴의 정신과 용기를 높이 평가함.
[35]| 3. 민족주의를 조성하고 촉진시킴.
[36]| 4. 약하고 부적당한 민족들을 도태시킴.
[37]| 5. 원시적인 평등의 망상을 해체시키고, 선택적으로 사회를 계층화시킴.
[38]| 전쟁은 진화적이고 선택적인 어떤 가치를 갖지만, 노예제도처럼, 문명화가 서서히 진척됨에 따라서 언젠가 반드시 사라진다. 옛 전쟁들은 여행과 문화 교류를 증진시켰으며;이런 목적이 이제는 현대적 수송 및 통신 방법으로 더 잘 이뤄지고 있다. 옛 전쟁은 국가를 강화시켰지만, 현대의 투쟁은 개화{開化}된 문화를 붕괴시켰다. 고대의 전쟁은, 열등한 민족들이 멸절되는 결과를 낳았으며;현대 전투의 최종 결과는, 가장 우수한 인간 혈통들이 선택적으로 파괴되는 것이다. 초기의 전쟁은 조직과 효율성을 증진시켰지만, 이것은 이제 현대 산업의 목표가 됐다. 지난 시대 동안, 전쟁은 문명을 앞으로 밀어내는 일종의 사회 효소{酵素}였으며;이제 야망과 발명이 이런 결과를 더 잘 달성한다. 고대의 전쟁은 싸우시는 {k{k{하나님}k}k}이라는 개념을 뒷받침했지만, 현대인은 {k{k{하나님}k}k}은 사랑이시라고 표현하고 있다. 전쟁은 과거에 가치 있는 많은 목적을 만족시켰지만, 즉 문명 건설에서 필요 불가결한 발판이 됐지만, 곧 문화적 파산을 가져오게 한다--전쟁을 불러일으키는 데 따르는 비참한 손실에 비례하는 이익을, 어떤 면으로도 사회에 배당 할 수 없다.
[39]| 의사들은 피를 흘림으로써 여러 질병을 고칠 수 있다고 한때 믿었던 적이 있었으나, 그 후로는 대부분의 질환을 위한 더 나은 치료법들을 발견하게 됐다. 그와 마찬가지로, 국제적으로 피를 흘리는 전쟁 대신, 나라들의 재난을 고치기 위한 더 나은 방법을 발견하는 일이 확실히 이뤄져야 한다.
[40]| {k{k{유란시아}k}k}의 국가들은, 민족적 군국주의와 산업주의 사이에서 벌어지는 거대한 투쟁을 이미 시작했으며, 이 투쟁은 목자{牧者}인_사냥꾼과 농부 사이에 있었던 오랜 세월의 투쟁과 여러 면에서 유사하다. 그러나 산업주의가 군국주의를 이기려면, 산업주의를 따르는 위험 요소들을 피해야 한다. {k{k{유란시아}k}k}에서 싹트는 산업의 위험 요소는 다음과 같다:
[41]| 1. 물질주의, 즉 영적 무지를 향한 심각한 표류.
[42]| 2. 부와_권력을 숭배함, 즉 가치 왜곡.
[43]| 3. 사치하는 악습{惡習}, 즉 문화적 미성숙.
[44]| 4. 게으름, 즉 봉사에 무감각함의 위험성이 증가됨.
[45]| 5. 바람직하지 못한 인종적 관대함의 증가, 즉 생물학상의 퇴보.
[46]| 6. 표준화된 산업에 노예가 될 징조, 즉 인간성의 침체. 노동은 고상하게 만들지만, 단순 노동은 감각을 마비시킨다.
[47]| 군국주의는 독재적이고 잔인하다--곧 야만적이다. 그것은 정복자들 가운데서 사회 조직을 증진시키지만, 피정복자들을 붕괴시킨다. 산업주의는 더 문명화된 것이며, 창의력을 촉진시키고 개인주의를 장려하도록 진행돼야 한다. 사회는 모든 가능한 방법으로 독창성을 육성해야 한다.
[48]| 전쟁을 찬양하는 잘못을 범하지 말고;오히려 전쟁이 사회에 무슨 이익을 가져왔는지 분별해서, 문명의 계속되는 진보를 위해 무엇으로 전쟁을 대체시킬 것인지, 너희가 더 정확하게 예견할 수 있도록 해라. 그리고 그런 충분한 대용품이 제공되지 않는다면, 전쟁은 계속될 것을 확신해도 좋다.
[49]| 평화가 사람의 물질적 복지에 최선임을 완전하게 반복해서 깨달을 때까지, 그리고 인류의 자아_보존 반응 가운데 하나인, 늘 누적되는 감정과 에너지를 방출하도록 고안된 집단적 충동을 주기적으로 해소시키는 선천적 성향을 만족시키도록, 사회가 평화적인 대용품을 현명하게 제공할 때까지, 사람은 결코 평화를 정상 생활 형태로 받아들이지 못할 것이다.
[50]| 그러나 말이 난 김에, 전쟁은 체험 훈련소로서 존중 받아야 할 것이며, 이 훈련소는 오만한 이기주의자들로 구성된 인종으로 하여금 크게 집중된 권위에--곧 대통령에게-- 복종하도록 강요했다. 구식{舊式}의 전쟁은 선천적으로 위대한 사람을 지도자로 삼았지만, 현대의 전쟁은 더 이상 이렇게 하지 않는다. 지도자를 발견하기 위해서, 사회는 이제 평화의 전리품, 즉:산업, 과학, 및 사회적 성취에 눈을 돌려야 한다.
[51]| {b{b{3. }b}b}{b{b{{k{k{초기의}k}k}}b}b}{b{b{ }b}b}{b{b{{k{k{인간}k}k}}b}b}{b{b{ }b}b}{b{b{{k{k{연합체}k}k}}b}b}
[52]| 가장 원시적인 사회에서는, {i{i{대집단}i}i}{i{i{{}i}i}{i{i{大集團}i}i}{i{i{}}i}i}이 전부이고, 아이들조차 무리의 공동 재산이다. 아이의 양육에서 진화하는 가정이 대집단을 대체한 반면, 새로 출현한 씨족과 부족이 사회 단위로서 가정을 대신했다.
[53]| 성욕과 모성애가 가족을 형성한다. 그러나 가족을 초월하는 집단들이 형성되기 전에는 실제 정부 형태가 출현하지 못한다. 대집단이 가족을 형성하던 시대 이전에는, 비공식으로 뽑은 개인이 지도자 역할을 했다. {k{k{아프리카}k}k}의 {k{k{부시먼}k}k} 종족은 이런 원시 단계를 넘어서 진보한 적이 없었고;대집단에는 우두머리가 없다.
[54]| 핏줄로 결합된 가족들이 혈연 집합체인 씨족으로 연합했고;나중에 이것이 진보돼서 지역 공동체인 부족을 이루게 됐다. 전쟁과 외부로부터의 압력이, 가까운 씨족들에게 부족 체제를 이루도록 강요했지만, 초기의 이 원시 집단들로 하여금 어느 정도 내부적 평화를 유지하면서 함께 묶일 수 있게 한 것은, 상업과 무역이었다.
[55]| 망상적 평화를 계획하는, 감상에 젖은 어떤 궤변보다, 국제 무역 체제들이, {k{k{유란시아}k}k}의 평화를 훨씬 더 증진시킬 것이다. 언어의 발달이, 그리고 향상된 교통수단뿐 아니라 개선된 통신 방법이, 무역 관계를 촉진시켜 왔다.
[56]| 공통 언어의 부재{不在}가, 평화를 지키는 집단들의 성장을 항상 방해했지만, 현대의 무역에서는 돈이 보편적 언어가 돼왔다. 주로 산업 시장이 현대 사회를 결속시킨다. 이익을 얻으려는 동기는, 봉사하려는 욕구로 증대됐을 때, 문명화시키는 강력한 도구가 된다.
[57]| 초기 시대에 각 부족은, 바깥쪽일수록 두려움과 의심이 커지는 그런 동심원들로 둘러싸였기 때문에, 모든 낯선 자를 죽이고, 나중에는 그들을 노예 삼는 일이 한때의 관습이었다. 친구 관계의 옛 관념은 씨족의 일원으로 받아들이는 것을 의미했으며;씨족에 소속되면 죽은 뒤에 생존한다고 믿었다--곧 가장 초기의 영생{永生} 개념 가운데 하나였다.
[58]| 서로를 받아들이는 예법으로 상대방의 피를 마셨다. 어떤 집단에서는 피를 마시는 대신 침을 서로 나눴는데, 이것이 사교적 입맞춤을 행하는 풍습의 옛 기원이다. 그리고 결혼이든지 양자결연이든지, 연합을 이루는 모든 예식 끝에는 반드시 축제가 열렸다.
[59]| 후대에는, 피 섞은 붉은 포도주가 사용됐고, 결국 포도주만 마심으로써 서로 받아들이는 예법을 지켰으며, 포도주 잔에 손을 댐으로써 승인을 표명했고, 그것을 마심으로써 완료됐다. {k{k{히브리인}k}k}은 서로 받아들이는 이런 예법으로부터 변경된 형태를 채택했다. 그들의 {k{k{아랍}k}k} 조상은, 후보자로 하여금 부족 원주민의 생식기{生殖器}에 손을 얹고 맹세하게 했다. {k{k{히브리인}k}k}은 받아들인 외국인을 형제처럼 친절하게 대우했다. “너희와 함께 거하는 낯선 이들을 너희 중에 태어난 사람처럼 대할 것이며, 너 자신처럼 그를 사랑해야 한다.”
[60]| “손님과의 우정”은 잠시 환대하는 관계였다. 방문했던 손님이 떠날 때, 접시를 둘로 쪼개서 한 조각을 떠나는 친구에게 주고, 제삼자{第三者}가 나중에 방문할 때 적절한 소개장{紹介狀}이 되게 했다. 손님은 자신의 여정과 모험에 관한 이야기를 들려줌으로써 빚을 갚는 것이 관례였다. 옛 시대에 이야기꾼이 너무 유행하게 됐으므로, 결국 사냥이나 추수하는 시기에는 그들이 그런 역할을 못하도록 금지시키는 사회관행이 생겼다.
[61]| 최초의 평화 조약은 “피로 맺는 계약”이었다. 전쟁을 벌이고 있는 두 부족의 평화 사절{使節}이 만나서 경의를 표한 후에, 피가 흐를 때까지 피부를 찔렀으며;서로의 피를 빨아 마시면서 평화를 선언하곤 했다.
[62]| 가장 일찍 있었던 평화 사절단은, 한때 자신의 적{敵}이었던 사람들의 성욕을 만족시켜주기 위해서 선택한 처녀들을 거느린 파견대표단으로 구성됐는데, 전쟁의 충동을 제거하는 일에 성욕이 이용됐다. 그렇게 공경 받은 부족은 그에 대한 답례로 방문하면서 처녀들을 선물로 줬으며;그 후부터 평화가 정착되곤 했다. 그리고 곧 족장{族長} 가족들 간의 결혼이 허용됐다.
[63]| {b{b{4. }b}b}{b{b{{k{k{씨족과}k}k}}b}b}{b{b{ }b}b}{b{b{{k{k{부족}k}k}}b}b}
[64]| 최초의 평화 집단은 가족이었고, 그 다음에는 씨족, 부족, 그리고 나중에는 민족이 이뤄졌는데, 민족이 결국 현대의 지역 국가를 이루게 됐다. {k{k{유란시아}k}k}의 나라들이 여전히 전쟁 준비에 많은 돈을 소비하고 있음에도, 오늘날 평화 집단들이 오래 전부터 혈연을 넘어서 나라들을 용납하기까지 확장됐다는 사실은, 가장 고무적인 일이다.
[65]| 씨족은 부족 내에서 혈연으로 묶인 집단이었고, 그들은 다음과 같은 특정한 공통 이해관계를 가졌다:
[66]| 1. 혈통을 거슬러 올라가면 조상이 같음.
[67]| 2. 동일한 종교 토템을 모심.
[68]| 3. 같은 통용어를 사용함.
[69]| 4. 공동 거주지에서 생활함.
[70]| 5. 동일한 적을 두려워함.
[71]| 6. 공동으로 전투 체험을 했음.
[72]| 씨족의 우두머리들은 항상 부족장{部族長}에게 복종했으며;초기 부족 정부는 씨족들의 느슨한 연합이었다. {k{k{오스트랄리아}k}k} 원주민은 결코 부족 형태의 정부를 개발하지 못했다.
[73]| 평화로울 때, 씨족 추장은 대개 모계{母系}를 통해서 다스렸으며;전시{戰時}의 부족 추장은 부계{父系}를 확립했다. 부족장과 초기 왕의 법정은 씨족장들로 구성됐는데, 매 년 몇 차례씩 그들을 왕 앞으로 소집시키는 것이 관례였다. 이렇게 함으로써, 왕은 그들을 감시할 수 있었고, 그들의 협동을 안전하게 보장받을 수 있었다. 씨족들은 지역의 자체_정부를 통해서 유익한 효과를 가져오게는 했지만, 큰 규모의 강력한 국가로 성장하는 것을 크게 지연시켰다.
