[1]| 제98편{{{br}}} 서양의 멜기세덱 교훈
[3]| {k{k{멜기세덱}k}k}의 교훈이 여러 경로를 통해서 {k{k{유럽}k}k}으로 들어갔지만, 주로 {k{k{이집트}k}k}를 통해서 전달됐으며, 철저히 {k{k{헬라}k}k}화 되고, 나중에 {k{k{그리스도교}k}k}화 된 후에 {k{k{서양}k}k} 철학에 포함됐다. {k{k{서방}k}k} 세계의 이상{理想}은 기본적으로 {k{k{소크라테스}k}k}를 따랐고, 후일에 그 종교 철학은, 진화하는 {k{k{서양}k}k} 철학 및 종교와 접촉하여 변경되고 절충된 대로 {k{k{예수}k}k}의 종교 철학이 됐으며, {k{k{서양}k}k} 철학 및 종교는 모두 {k{k{그리스도교}k}k} 교회에서 절정에 달했다.
[4]| {k{k{살렘}k}k} 선교사들은 {k{k{유럽}k}k}에서 오랫동안 계속 활동했고, 간헐적으로 일어난 많은 종파와 제례 집단에 점차 흡수됐다. {k{k{살렘}k}k} 교훈을 가장 순수한 형태로 간직한 사람들 중에서, {k{k{견유학파}k}k}{犬儒學派}는 반드시 상기할 필요가 있다. {k{k{하나님}k}k}을 믿고 신뢰하라고 외치는 이 전도자들은, 기원후 1세기에 {k{k{로마}k}k}화 된 {k{k{유럽}k}k}에서 여전히 활약했고, 나중에는 새롭게 형성되는 {k{k{그리스도교}k}k}에 통합됐다.
[5]| {k{k{서양}k}k}의 수많은 군사 투쟁에서 싸웠던 {k{k{유대인}k}k} 용병{傭兵}들이 대부분의 {k{k{살렘}k}k} 교리를 {k{k{유럽}k}k}에 퍼뜨렸다. 고대{古代}에 {k{k{유대인}k}k}은 신학적 독특성으로 유명했던 만큼, 용맹스런 군인으로도 유명했다.
[6]| {k{k{그리스}k}k} 철학, {k{k{유대인}k}k} 신학, 및 {k{k{그리스도교}k}k} 윤리의 기본 교리는 근본적으로, 더 예전에 있었던 {k{k{멜기세덱}k}k} 교훈의 간접영향이었다.
[7]| {b{b{1. }b}b}{b{b{{k{k{그리스인}k}k}}b}b}{b{b{ }b}b}{b{b{{k{k{가운데서}k}k}}b}b}{b{b{ }b}b}{b{b{{k{k{살렘}k}k}}b}b}{b{b{ }b}b}{b{b{{k{k{종교}k}k}}b}b}
[8]| {k{k{살렘}k}k} 선교사들은, 임직식{任職式} 때 했던 맹세, 즉 {k{k{마키벤타}k}k}가 부과한 서약을 엄격하게 해석하지 않았더라면, {k{k{그리스인}k}k} 가운데서 대단한 종교 체제를 세웠을 것인데, 이 서약은 순전히 경배를 위한 회중{會衆}은 조직하지 못하도록 금지했으며, 선생 각자에게 결코 사제로서 활동하지 말고, 종교적 봉사에 대한 대가{代價}를 받지 말고, 오직 양식, 의복, 및 거처할 장소만 받는다는 약속을 요구했다. {k{k{헬라}k}k}화하기_전의 {k{k{그리스}k}k}에 들어갔을 때, {k{k{멜기세덱}k}k} 선생들은 {k{k{아담선}k}k}과 {k{k{안드족속}k}k} 시대의 전승을 여전히 간직한 민족을 발견했지만, 이 교훈은 {k{k{그리스}k}k} 해안에 점점 많은 숫자로 불어났던 열등한 유랑민 무리 노예의 관념과 믿음으로 크게 오염됐다. 이런 오염은, 피 흘리는 제례와 함께 조잡한 정령 숭배로 퇴보하게 했는데, 하류 계층 사람은 사형선고를 받은 죄수들의 집행을 예식으로 만들기까지 했다.
[9]| {k{k{살렘}k}k} 선생의 초기 영향은, 남부 {k{k{유럽}k}k} 및 {k{k{동방}k}k}으로부터 소위 {k{k{아리아인}k}k}의 침공을 받아서 거의 없어졌다. 이 {k{k{헬라인}k}k} 침입자들은, {k{k{아리아인}k}k} 동족이 {k{k{인도}k}k}로 가져갔던 것과 유사한, 사람 모습을 닮은 {k{k{하나님}k}k} 개념을 가져왔다. 이 개념의 유입으로 말미암아, 남신과 여신들로 구성된 {k{k{그리스}k}k}의 신{神} 계보가 진화하기 시작했다. 새로운 이 종교는, 유입되는 {k{k{헬라}k}k} 야만인이 갖고 있는 종파에 부분적으로 기초했지만, 또한 {k{k{그리스}k}k}의 옛 주민의 신화도 공유했다.
[10]| {k{k{헬라}k}k} 시대의 {k{k{그리스인}k}k}은 어머니 숭배 종파가 {k{k{지중해}k}k} 연안을 전반적으로 장악하고 있음을 발견했고, 이 민족들에게 자기네 인신{人神} {k{k{디아우스}k}k}_{k{k{제우스}k}k}를 믿도록 강요했는데, 이 인신은 단일신교를 숭배하는 {k{k{셈족속}k}k} 가운데 있던 {k{k{야훼}k}k}처럼, {k{k{그리스}k}k}의 하급 신들의 만신전 전체에서 이미 우두머리가 됐다. {k{k{운명의}k}k} {k{k{신}k}k}이 전면통제한다는 생각을 버렸더라면, {k{k{그리스인}k}k}은 {k{k{제우스}k}k} 개념에서 결국 참된 일신교를 성취했을 것이다. 최종 가치를 지닌 {k{k{하나님}k}k}은, 자신이 운명의 중재자 및 운명의 창조자여야 한다.
[11]| 종교의 진화에서 이 요인들의 결과로, {k{k{올림푸스}k}k} {k{k{산}k}k}의 낙천적 신들에 대한 대중적 믿음이 곧 발달했는데, 이 신들은 신보다 인간에 가까웠고, 총명한 {k{k{그리스인}k}k}은 이 신들을 전혀 심각하게 여기지 않았다. 그들은 자신들이 창작한 이런 신들을 크게 좋아하지 않았고, 크게 두려워하지도 않았다. {k{k{제우스}k}k} {k{k{신}k}k}을 비롯해서 그의 반신반인{半神半人} 가족에 대해 애국심과 민족적 느낌을 가졌지만, 그들을 공경하거나 숭배하지는 않았다.
[12]| {k{k{헬라인}k}k}은 사제제도에 반대하는 초기 {k{k{살렘}k}k} 선생의 교리에 너무 젖어 있었으므로, {k{k{그리스}k}k}에서는 어떤 유력한 사제계층도 발생한 적이 없었다. 심지어 형상을 만들어 신들에게 바치는 것도, 숭배의 문제가 아니라 예술의 일이 됐다.
[13]| {k{k{올림포스}k}k} {k{k{산}k}k}의 신들은, 사람의 전형적 신인동형론{神人同形論}을 설명해 준다. 그러나 {k{k{그리스}k}k} 신화는 윤리적이라기보다 심미적이었다. {k{k{그리스}k}k}의 종교는, 한 신격 집단이 지배하는 우주를 묘사했기 때문에 유익했다. 그러나 {k{k{그리스}k}k}의 도덕, 윤리, 및 철학은, 곧 신 개념을 훨씬 뛰어넘을 정도로 진보했고, 지적 성장과 영적 성장 사이의 이 불균형은, {k{k{인도}k}k}에서 입증됐다시피, {k{k{그리스}k}k}에 위험했다.
[14]| {b{b{2. }b}b}{b{b{{k{k{그리스의}k}k}}b}b}{b{b{ }b}b}{b{b{{k{k{철학적}k}k}}b}b}{b{b{ }b}b}{b{b{{k{k{사고}k}k}}b}b}
[15]| 사람이 가볍게 여기는 피상적인 종교는, 특히 그 형식을 조성하고 경건한 신자들의 마음을 두려움과 경외심으로 채워줄 사제계층이 없을 때, 지속될 수 없다. {k{k{올림포스}k}k} {k{k{산}k}k}의 종교는 구원을 약속하지 않았을 뿐만 아니라, 그것을 믿는 사람의 영적 갈증도 해결하지 못했으며;따라서 그것은 소멸될 운명이었다. 그것은 생긴 후 1,000년 안에 거의 사라졌고, {k{k{그리스인}k}k}은 민족 종교 없이 지냈는데, {k{k{올림포스}k}k} {k{k{산}k}k}의 신들은 상류의 지성인들에게 영향력을 잃었기 때문이다.
[16]| 이것이, {k{k{동양}k}k}과 {k{k{레반트}k}k}가 영적 의식{意識}의 회복을 체험하고, 일신교를 깨닫는 새로운 각성을 체험하던, 기원전 6세기의 상황이었다. 그러나 {k{k{서방}k}k}은 이런 새로운 발전에 참여하지 못했을 뿐만 아니라;{k{k{유럽}k}k}이나 북부 {k{k{아프리카}k}k}도 종교 부흥에 널리 참여하지 못했다. 그러나 {k{k{그리스인}k}k}은 굉장한 지적 발전을 이룩했다. 그들은 두려움을 극복하기 시작했고, 더 이상 두려움에 대한 해독제로 종교를 찾지 않았지만, 바로 그 참된 종교가, 혼의 갈급함, 영적 불안감, 그리고 도덕적 절망감에 대한 치료제라는 사실은 감지하지 못했다. 그들은 깊이 사색함으로써 --철학과 형이상학으로-- 혼의 위안을 찾으려고 했다. 그들은 자아_보존--곧 구원--에 대한 관심을 버리고, 자아_실현과 자아_이해로 돌아섰다.
[17]| {k{k{그리스인}k}k}은, 엄밀하게 사고{思考}함으로써 생존한다는 믿음의 대용품으로 쓰일 보증품을 의식{意識}하려고 애썼지만, 철저히 실패했다. 오직 {k{k{헬라}k}k} 민족들 가운데 상류 계층에서 더 지성적인 사람들만, 이 새로운 가르침을 파악할 수 있었으며;옛 세대 노예의 후손인 서민은 이런 새로운 종교 대용품을 받아들일만한 수용력이 없었다.
[18]| 거의 모든 철학자가, “우주의 {k{k{지성}k}k}”, “{k{k{하나님}k}k} 관념”, 및 “{k{k{위대한}k}k} {k{k{근원}k}k}”을 가르친 {k{k{살렘}k}k} 교리에 대한 믿음의 배경에 미약하게나마 물들어 있었음에도, 모든 형태의 숭배를 경멸했다. 신성한 자들과 유한{有限}을 초월하는 자들을 인정하는 한, {k{k{그리스}k}k}의 철학자들은 솔직하게 일신교를 믿었지만;{k{k{올림포스}k}k} {k{k{산}k}k}의 남신 및 여신들 전체 무리에 대해서는 별로 인정하지 않았다.
