[1]| 제103편{{{br}}} 종교 체험의 실체
[3]| 사람의 참된 종교적 반응은 모두, 경배 보조체의 초기 사역으로 후원받고, 지혜 보조체의 검열을 받는다. 사람의 첫 초월정신 재능은, {k{k{우주}k}k} {k{k{창조적}k}k} {k{k{영}k}k}의 {k{k{거룩한}k}k} {k{k{영}k}k} 안에서 인격이 회로화{回路化}되는 재능이며;신성한 {k{k{아들}k}k}들이 증여되거나 {k{k{조율사}k}k}가 보편적으로 증여되기 훨씬 전에, 이 영향력은, 윤리, 종교, 및 영성{靈性}에 대한 사람의 관점을 확장시키는 작용을 한다. {k{k{낙원}k}k} {k{k{아들}k}k}이 증여된 뒤에는, 종교적 진리를 감지할 수 있는 인간의 수용력을 확장하기 위해서, 해방된 {k{k{진리의}k}k} {k{k{영}k}k}이 강력하게 기여한다. 인간거주 세계에서 진화가 진척됨에 따라, {k{k{사고}k}k} {k{k{조율사}k}k}는 인간이 가진 더 높은 유형의 종교적 통찰력을 개발시키는 데 점점 더 참여하게 된다. {k{k{사고}k}k} {k{k{조율사}k}k}는 시공우주의 창문인데, 무한한 {k{k{신격}k}k}, 즉 {k{k{만유의}k}k} {k{k{아버지}k}k}의 확실성과 신성{神性}을, 그 창문을 통해서 유한한 피조물이 신앙으로 어렴풋이 볼지도 모른다.
[4]| 인류의 종교적 성향은 타고난 것이며;보편적으로 나타나고 외견상 자연적으로 발생되며;원시 종교는 반드시 진화로 유래된다. 자연스런 종교 체험이 계속 진보함에 따라서, 계시가 없다면 느리게_움직일 행성 진화 과정에, 진리의 주기적 계시가 힘을 실어준다.
[5]| 오늘날 {k{k{유란시아}k}k}에는 네 종류의 종교가 있다:
[6]| 1. 자연 종교, 즉 진화 종교.
[7]| 2. 초자연 종교, 즉 계시 종교.
[8]| 3. 실제의 종교, 즉 자연 종교와 초자연 종교가 다양한 정도로 섞여있는, 유행되는 종교.
[9]| 4. 철학적 종교, 즉 사람이_만들었거나 철학적으로 생각해_낸 신학 교리 및 이성으로_창출된 종교.
[10]| {b{b{1. }b}b}{b{b{{k{k{종교에}k}k}}b}b}{b{b{ }b}b}{b{b{{k{k{관한}k}k}}b}b}{b{b{ }b}b}{b{b{{k{k{철학}k}k}}b}b}
[11]| 사회 집단 또는 인종 집단 가운데서 종교 체험이 일치하는데, 이는 각 개인에게 내주하는 {k{k{하나님}k}k} 단편이 동일한 본성을 가진 데서 연유한다. 다른 사람들의 복지에 사심 없는 관심을 갖게 하는 것은, 사람 속에 있는 이 신성{神性}한 존재다. 그러나 인격의 독특성--곧 어떤 두 필사 존재도 똑같지 않은 것-- 때문에, 어떤 두 인간도, 자기 정신 속에 거주하는 신성한 영의 안내와 충동을 비슷하게 해석할 수 없음이 불가피하다. 한 필사자 집단이 영적 통일성을 체험할 수 있지만, 결코 사상의 획일성을 달성할 수는 없다. 그리고 종교적 사고{思考}와 체험에 대한 해석의 이런 다양성은, 20세기 신학자와 철학자가 종교에 대해서 500여 가지 서로 다른 정의를 내렸다는 사실에서 잘 나타난다. 실제로, 인간은 누구든지, 자신에게 내주하는 {k{k{하나님}k}k}의 영{靈}으로부터 흘러나오는 신성한 자극에 대해서, 자신의 체험적 해석에 따른 말로 종교를 정의하며, 따라서 그런 해석은 독특하고, 다른 모든 인간의 종교 철학과 전혀 다를 수밖에 없다.
[12]| 한 필사자가 동료 필사자의 종교 철학에 전적으로 동의할 때, 그런 현상은, 철학적인 종교 해석의 유사성과 관련된 문제들에 접근하는 비슷한 {i{i{종교}i}i} {i{i{체험}i}i}을, 이 두 존재가 겪었음을 의미한다.
[13]| 너의 종교가 개인적으로 체험하는 문제라고 해도, 네가 자신의 종교 생활을 자기중심적인--곧 외부와 담을 쌓고, 이기적이고, 반{反}사회적인-- 상태가 되지 않도록 막을 목적으로, 너는 많은 다른 종교 체험(곧 다양한 다른 필사자들의 다양한 해석)을 이해하는 지식을 접해야 한다.
