[1]| 제109편{{{br}}} 조율사와 우주 피조물의 관계
[3]| {k{k{사고}k}k} {k{k{조율사}k}k}는 우주 생애를 사는 아이이며, 정말로 무체험 {k{k{조율사}k}k}는, 필사 피조물이 성장하고 발전하는 동안에 반드시 체험을 획득해야 한다. 인간 아이의 인격이 진화로 실존하려고 애쓰면서 성장하듯이, {k{k{조율사}k}k}도 다음 단계로 상승하는 삶을 연습하면서 점점 성장한다. 아이가 초기 어린 시절에 사회생활과 놀이생활을 통해서 성숙한 활동에 적응할 융통성을 획득하듯이, 내주하는 {k{k{조율사}k}k}도, 모론시아 생애와 관계있는 활동을 필사자가 예비로 계획하고 연습하는 덕택으로, 다음 단계의 시공우주 생애를 위한 솜씨를 습득한다. 인간 실존은, 미래의 삶에서 증가된 책임과 더 큰 기회를 가질 수 있도록 준비하면서 {k{k{조율사}k}k}가 효과적으로 활용하는, 한때의 실습기간이다. 그러나 너에게 내주할지라도, {k{k{조율사}k}k}의 노력은 현세의 삶에서, 그리고 행성에서 실존하면서 생기는 일에는 그다지 관여하지 않는다. 이를테면, 오늘날 {k{k{사고}k}k} {k{k{조율사}k}k}는, 인간의 진화하는 정신 속에서 우주 생애의 실체를 미리 연습하고 있다.
[4]| {b{b{1. }b}b}{b{b{{k{k{조율사의}k}k}}b}b}{b{b{ }b}b}{b{b{{k{k{성장}k}k}}b}b}
[5]| 무체험 {k{k{조율사}k}k}들이 {k{k{디비닝톤}k}k}에서 파송되기 전에 훈련과 성장을 위한 복잡하고 정교한 계획이 수립되지만, 우리는 그것에 관하여 많이 알지 못하는 것이 사실이다. 의심할 여지없이, 내주 체험을 가진 {k{k{조율사}k}k}가 필사자와 연합하는 새 사명에 착수하기 전에, 다시 훈련시키는 광범한 체계가 또한 있지만, 이것 역시 우리는 실제로 알지 못한다.
[6]| {k{k{관찰자}k}k}가_내주했던 필사자가 생존에 실패할 때마다, 그 {k{k{조율사}k}k}가 {k{k{디비닝톤}k}k}으로 돌아갈 때, 확대된 훈련 과정이 예정돼 있다고, 나는 {k{k{인격화된}k}k} {k{k{조율사}k}k}에게서 들었다. 이 훈련은, 인간에게 내주했던 체험으로 인해 가능하게 되며, 그 {k{k{조율사}k}k}가 진화하는 시간 세계로 돌아가기 전에 항상 주어진다.
[7]| 시공우주에서 실제로 사는 체험을 대신할 수 있는 것은 없다. 새롭게 형성된 {k{k{사고}k}k} {k{k{조율사}k}k}의 완전한 신성은, 이 {k{k{신비}k}k} {k{k{관찰자}k}k}에게, 노련하게 섬기는 역량을 어떤 방법으로도 부여하지 않는다. 체험은 실아 있는 실존에서 분리될 수 없으며;아무리 신성한 재능이 많더라도, {i{i{실제}i}i} {i{i{삶}i}i}으로 확고히 해야 할 필연성에서, 너희를 조금도 면제시킬 수 없는 유일한 것이다. 그러므로, {k{k{지존자}k}k}의 현재 영역 안에서 살며 활동하는 모든 존재와 마찬가지로, {k{k{조율사}k}k}들도 체험을 획득해야 하며, 체험하지 않은 낮은 집단으로부터, 더 많이 체험한 높은 집단으로 진보해야 한다.
[8]| {k{k{조율사}k}k}들은 필사 정신 속에서 명확하게 발전하는 생애를 체험하며;달성한 실체를 획득하는데, 이것은 영원히 그들의 것이다. 특정한 필사 상대자가 생존하든지 못하든지에 상관없이, 물질적 종족과 어떤 접촉을 갖든지, 그 결과로, 그들은 {k{k{조율사}k}k}로서의 솜씨와 역량을 점진적으로 획득한다. 또한 그들은, 생존할 자격이 있는 불멸의 혼이 진화하도록 촉진하는 일에, 인간 정신의 대등한 동업자다.
[9]| {k{k{조율사}k}k}의 진화에서 첫 단계는, 필사 존재의 생존하는 혼과 융합할 때 달성된다. 이렇게, 너희는 사실상 사람으로부터 {k{k{하나님}k}k}께 이르기까지, 안쪽으로 그리고 위로 진화하는 한편, {k{k{조율사}k}k}는 사실상 {k{k{하나님}k}k}으로부터 사람에 이르기까지, 바깥쪽으로 그리고 아래로 진화하며;그래서 이 신성{神性}과 인간성의 합동으로 생기는 최종 산물은, 영원히 사람의 아들이자 {k{k{하나님}k}k}의 아들일 것이다.
[10]| {b{b{2. }b}b}{b{b{{k{k{스스로}k}k}}b}b}{b{b{_}b}b}{b{b{{k{k{행동하는}k}k}}b}b}{b{b{ }b}b}{b{b{{k{k{조율사}k}k}}b}b}
[11]| 체험과 관련해서 너희는, {k{k{조율사}k}k}들의 분류--곧 무체험 {k{k{조율사}k}k}, 진보된 {k{k{조율사}k}k}, 및 최상 {k{k{조율사}k}k}--를 알게 됐다. 너희는 또한, 어떤 기능적 분류--곧 스스로_행동하는 {k{k{조율사}k}k}--도 알아야 한다. 스스로_행동하는 {k{k{조율사}k}k}란:
[12]| 1. {k{k{조율사}k}k}를 필사 상대자에게 빌려줄 뿐인 그런 유형의 세계에, 또는 인간이 생존에 실패했던 실제 융합 행성에, 임시 거주자로서, 의지를 지닌 피조물의 진화하는 삶에서 어떤 필수 체험을 했다. 그런 {k{k{관찰자}k}k}는 진보된 {k{k{조율사}k}k} 또는 최상 {k{k{조율사}k}k}다.
