[1]| 제110편{{{br}}} 조율사와 개별 필사자의 관계
[3]| 불완전한 존재들에게 자유를 부여하는 데는 비극이 필연적으로 수반되며, 충실한 동무로서 이런 고통을 보편적으로, 그리고 애정을 다해서 함께 하는 것이 그 완전한 조상 {k{k{신격}k}k}의 본성이다.
[4]| 우주 직무에 대해서 내가 알고 있는 한, {k{k{사고}k}k} {k{k{조율사}k}k}의 사랑과 헌신이 모든 창조에서 참으로 가장 신성한 애정이라고 생각한다. {k{k{아들}k}k}들이 여러 종족에게 베푸는 사역에서 보여주는 사랑이 고귀하지만, 개인에 대한 {k{k{조율사}k}k}의 헌신은 감동적으로 숭고하고, 신성하게 {k{k{아버지}k}k}를_닮았다. {k{k{낙원}k}k} {k{k{아버지}k}k}는, {k{k{창조주}k}k}로서의 독특한 특권으로, 각 피조물과 개인적으로 접촉할 수 있는 이 형식을 명백히 예비해 두신다. 그리고 진화 행성에 속한 자녀들에게 매혹적으로 내주하는 이 비인격 실재의 경이로운 사역에 필적할 만한 것은 온갖 우주 전체에 하나도 없다. 
[5]| {b{b{1. }b}b}{b{b{{k{k{필사}k}k}}b}b}{b{b{ }b}b}{b{b{{k{k{정신에}k}k}}b}b}{b{b{ }b}b}{b{b{{k{k{내주함}k}k}}b}b}
[6]| {k{k{조율사}k}k}가 인간의 물질 뇌 속에 산다고 생각해서는 안 된다. {k{k{조율사}k}k}는, 그 영역에 사는 육체를 가진 피조물의 유기적 부분이 아니다. {k{k{사고}k}k} {k{k{조율사}k}k}는 단일 신체 기관의 한계 안에 존재하기보다, 오히려 사람의 필사 정신에 내주한다고 상상하는 것이 더 적당할 것 같다. 또한 {k{k{조율사}k}k}는 간접적으로, 그리고 인식되지 않은 상태에서 인간 상대자와 끊임없이 대화하는데, 특히 초의식{超意識} 속에서 정신과 영이 경건한 접촉을 이루는 장엄한 체험을 하는 동안에 더욱 그렇다. 
[7]| 진화하는 필사자 안에 사는 {k{k{조율사}k}k}들이 헌신적이고 훌륭하게 활동하는 것에 대해서, 그 필사자가 더 낫게 이해하고 더 충만하게 감사하도록 내가 도울 수 있기를 바라는데, {k{k{조율사}k}k}들은 사람의 영적 번영을 육성하는 과제에 무척 헌신적으로 충실하다. 이 {k{k{관찰자}k}k}들은, 사람의 정신의 더 높은 국면에 효과적인 사역자이며;인간 지능의 영적 잠재력을 현명하고 익숙하게 조종하는 자다. 하늘의 이 협조자들은, 행복한 천상의 안식처를 향해 안쪽으로, 그리고 위쪽으로 너희를 안전하게 인도하는 엄청난 과제에 전념한다. 이 지칠 줄 모르는 일꾼들은, 너희의 영구적 인생에서 신성한 진리의 승리가 장차 구현되는 일에 거룩하게 헌신한다. 그들은, 사람의 진화하는 혼이 저 멀리 영원한 해변에 있는 완비된 신성한 항구를 향하도록 노련하게 안내하는 동안에, {k{k{하나님}k}k}을_의식하는 인간 정신이, 악의 모래톱으로부터 멀어지도록 인도하는, 신중한 일꾼이다. {k{k{조율사}k}k}들은, 사랑스런 인도자, 즉 너희가 이 땅에서 짧은 생애 동안 겪는 어둡고 불확실한 미로를 통해서, 안전하고 확실하게 안내하는 자이며;자신의 상대자가 점진적으로 완전해지는 길에서, 앞으로 나아가도록 계속 자극하는, 참을성 있는 선생이다. 그들은 피조물 성품의 고귀한 가치를 신중히 보호하는 자다. 나는 너희가 그들을 더 사랑하고, 그들과 더 전적으로 협동하고, 그들을 더 다정하게 소중히 여길 수 있기를 바란다.
[8]| 신성한 내주자{內住者}들은, 영구히 실존할 다음 단계를 위한 너희의 영적 준비에 주로 관여할지라도, 현세에 너희의 번영과 땅에서 이루는 실제 성취에도 깊은 관심을 갖는다. 그들은 너희의 건강, 행복, 및 참된 성공에 이바지하기를 기뻐한다. 그들은, 영원히 진보해 갈 너희의 미래 인생에 해롭지 않은, 행성에서 진보하는 모든 문제에서 너희가 성공하는 데 무관심하지 않다. 
[9]| {k{k{조율사}k}k}들은, 너의 일상 활동과 너의 다양한 세부적 삶이, 너의 현세적이면서 중대한 여러 선택과 생사를 좌우하는 영적 결정에 영향을 주고, 그리하여 혼이 생존하고 영원히 진보하는 너의 문제를 해결해 주는 데 요인이 되는 바로 그 정도까지, 너의 활동과 삶에 흥미를 가지며 관심을 갖는다. {k{k{조율사}k}k}는, 순전히 현세적 번영 면에서는 소극적이지만, 너의 영원한 미래의 모든 직무에 관해서는 더할 나위 없이 적극적이다. 
[10]| 어떤 재난이 있어도, 어떤 질병이든지 정신력을 완전히 망가뜨리지 않는 한, {k{k{조율사}k}k}는 너와 함께 남아 있다. 그러나 {k{k{하나님}k}k}으로부터 온 이 경이로운 선물이 땅에서 거할 장막으로서 이바지해야 하는 그 육체를, 알면서도 더럽히거나, 고의로 오염시키는 것은 얼마나 몰인정한 일인가. 모든 육신적 독약은, 물질 정신을 고상하게 하려는 {k{k{조율사}k}k}의 노력을 크게 지체시키며, 한편 두려움, 노여움, 질투심, 투기, 의심, 및 편협함 등의 정신적 독약은, 진화하는 혼의 영적 진보를 마찬가지로 엄청나게 훼방한다. 
[11]| 너는 오늘날 네 {k{k{조율사}k}k}가 구애{求愛}하는 기간을 지나고 있으며;너의 정신과 혼에게 영원한 합동을 요구하는 신성한 영이 너에게 맡긴 책임에, 네가 충실한 것을 입증만 한다면, 모론시아로 하나 됨, 숭고한 조화, 시공우주 협조, 신성한 동조, 천상의 융합, 정체성의 끝_없는 혼합, 그리고 존재의 일치가 결국 일어나게 될 것인데, 이것은 아주 완전하고 최종적이므로, 최고로 체험한 인격체들조차, 융합 동반자들을--곧 필사적 사람과 신성한 {k{k{조율사}k}k}를-- 독립된 정체성으로 분리하거나 알아볼 수가 결코 없다.
[12]| {b{b{2. }b}b}{b{b{{k{k{조율사와}k}k}}b}b}{b{b{ }b}b}{b{b{{k{k{인간}k}k}}b}b}{b{b{ }b}b}{b{b{{k{k{의지}k}k}}b}b}
