[1]| 제112편{{{br}}} 인격의 생존
[3]| 진화하는 행성들은 인간이 기원되는 구체이며, 상승하는 필사자 생애가 시작되는 세계다. {k{k{유란시아}k}k}는 너의 출발지점이며;여기서 너와 너의 신성한 {k{k{사고}k}k} {k{k{조율사}k}k}가 일시적으로 합동하고 있다. 너는 완전한 안내자를 부여받았으며;따라서, 네가 시간의 경주를 진지하게 달려가고, 신앙의 최종 목표를 달성하면, 오랜 세월에 대한 보상은 네 것이 될 것이며;너는 너에게 내주하는 {k{k{조율사}k}k}와 영원히 결합하게 될 것이다. 그렇게 되면, 네 진짜 인생, 즉 상승하는 삶이 시작될 것이며, 너의 현재 필사 상태는 거기에 이르는 접근로{接近路}에 지나지 않는다. 그러면 네 앞에 펼쳐지는 영원 속에서, 너의 고양되고 진취적인 사명이 완결성취자로서 시작될 것이다. 그리고 이 모든 연속되는 시대들 내내 그리고 진화 성장의 모든 단계에서, 전혀 변화되지 않은 한 부분이 네게 남게 되는데, 그것이 --변화에 직면해서도 불변하는-- 인격이다.
[4]| 인격을 정의하려고 시도하는 것은 주제넘은 일이겠지만, 인격에 관해 알려진 것들을 열거해 보는 것은 아마 도움이 될 것이다:
[5]| 1. 인격은, {k{k{만유의}k}k} {k{k{아버지}k}k} 자신이, 또는 {k{k{아버지}k}k}를 대신해서 행동하는 {k{k{공동}k}k} {k{k{행위자}k}k}가 증여하는, 실체 속에 있는 그 자질이다.
[6]| 2. 인격은 정신 또는 영을 포함하여, 모든 살아있는 에너지 체계에 증여될 수 있다.
[7]| 3. 인격은 전제{前提}된 인과관계라는 족쇄에 전적으로 종속되지는 않는다. 인격은, 상대적으로 창조적 또는 공동_창조적이다.
[8]| 4. 진화하는 물질 피조물에게 증여됐을 때, 인격은, 정신의 중재를 통해서 영이 에너지_질료를 지배하려고 애쓰게 만든다.
[9]| 5. 인격은, 정체성이 결여돼 있지만, 모든 살아있는 에너지 체계의 정체성을 통합할 수 있다.
[10]| 6. 인력에 질적 및 양적 반응을 나타내는 세 가지 에너지와는 대조적으로, 그것은 오직 인격 회로에 대하여 질적 반응만 나타낸다.
[11]| 7. 변화가 있는 가운데서 인격은 바뀌지 않는다.
[12]| 8. 인격은 {k{k{하나님}k}k}께 선물을 드릴 수 있다--곧 {k{k{하나님}k}k} 뜻을 행하기에 자유 의지를 바칠 수 있다.
