[1]| 제114편{{{br}}} 행성의 스랍 정부
[3]| 천상의 많은 세력과 매개체를 통해서, 그러나 주로 스라빔의 사역을 통해서, {k{k{지고자}k}k}{至高者}들이 사람의 나라들을 통치한다.
[4]| 오늘 정오에, {k{k{유란시아}k}k}에 있는 행성 천사, 수호자, 및 다른 자들의 출석인원은, 501,234,619쌍의 스라빔이었다. 내 지휘 아래 200 스랍 군대가 --곧 597,196,800쌍의 스라빔, 즉 1,194,393,600명의 개별 천사가-- 배정돼 있다. 아무튼, 등록된 개별 존재는 1,002,469,238명이며;따라서 191,924,362명의 천사가, 운송, 연락원, 및 죽음과 관련된 임무에 종사하기 위하여 이 세계에서 자리를 비우고 있다. ({k{k{유란시아}k}k}에는 스라빔과 거의 동일한 숫자의 체루빔이 있으며, 그들도 비슷하게 조직돼 있다.)
[5]| 스라빔과 그 동역자인 체루빔은, 한 행성, 특히 반역 때문에 고립된 세계의 초인간 정부의 세부사항에 많이 관여한다. 천사는, 중도자의 훌륭한 협조를 받는데, 주재하는 총독과 그의 모든 동역자 및 부하의 명령을 수행하는 실제적인 초물질 사역자로서 {k{k{유란시아}k}k}에서 활동한다. 하나의 계층으로서 스라빔은, 개인 및 집단 수호자 역할 이외의 다른 많은 임무에 몰두한다.
[6]| {k{k{유란시아}k}k}는, 체계, 성좌, 및 우주의 통치자들로부터 적절하고 효과적인 감독을 받지 않고 지내지는 않는다. 그러나 행성 정부는, {k{k{사타니아}k}k} 체계, 그리고 심지어 {k{k{네바돈}k}k} 전체에 있는 어떤 다른 세계의 정부와도 같지 않다. 너희를 감독하는 계획이 이렇게 독특한 것은 몇 가지 특이한 환경 때문이다:
[7]| 1. {k{k{유란시아}k}k}의 생명 변경 상태.
[8]| 2. {k{k{루시퍼}k}k} 반역의 긴급사태.
[9]| 3. {k{k{아담}k}k}의 태만으로 인한 혼란.
[10]| 4. {k{k{유란시아}k}k}가 {k{k{우주}k}k} {k{k{주권자}k}k}의 증여 세계 가운데 하나였다는 사실에서 발생하는 불규칙한 점들. {k{k{네바돈}k}k}의 {k{k{미가엘}k}k}이 {k{k{유란시아}k}k}의 {k{k{행성}k}k} {k{k{왕자}k}k}임.
[11]| 5. 24명의 행성 지도자의 특별한 기능.
[12]| 6. 천사장들의 회로가 행성에 위치함.
[13]| 7. 한때 육신화 했던 {k{k{마키벤타}k}k} {k{k{멜기세덱}k}k}이, 아주 최근에 대리 {k{k{행성}k}k} {k{k{왕자}k}k}로 임명됨.
[14]| {b{b{1. }b}b}{b{b{{k{k{유란시아의}k}k}}b}b}{b{b{ }b}b}{b{b{{k{k{주권}k}k}}b}b}
[15]| {k{k{유란시아}k}k}의 원래 주권은 {k{k{사타니아}k}k} 체계 주권자에게 맡겨졌다. 그는 그것을 처음에 {k{k{멜기세덱}k}k}들과 {k{k{생명}k}k} {k{k{운반자}k}k}들의 연합 위원회에 위임했으며, 이 집단은, 정식으로 임명된 {k{k{행성}k}k} {k{k{왕자}k}k}가 도착할 때까지 활동했다. {k{k{루시퍼}k}k} 반역이 일어났을 당시 {k{k{캘리개스챠}k}k} {k{k{왕자}k}k}가 몰락한 후에, {k{k{유란시아}k}k}는 {k{k{미가엘}k}k}이 육신 속의 증여를 완성 할 때까지, 지방우주 및 그 경영 부서들과 확실하고 안정된 관계를 유지하지 못했는데, 이때 {k{k{합동}k}k} {k{k{항존자}k}k}들이 {k{k{미가엘}k}k}을 {k{k{유란시아}k}k}의 {k{k{행성}k}k} {k{k{왕자}k}k}로 선포했다. 그런 선포는 확실히, 원칙적으로 너희 세계의 상태를 영원히 해결했지만, 실제로는 {k{k{주권자}k}k} {k{k{창조주}k}k} {k{k{아들}k}k}이 행성을 친히 경영하려는 어떤 태도도 보이지 않았는데, 한 가지 예외는, {k{k{유란시아}k}k} 정부를 비롯해 체계에서 격리된 다른 모든 행성의 정부에서 그를 대변할 권한을 가진, 24명의 옛 {k{k{유란시아인}k}k}으로 구성된 {k{k{예루셈}k}k} 위원회를 설립한 것이다. 이 협의회 가운데 한 명은 지금 주재{駐在}하는 총독으로서 {k{k{유란시아}k}k}에 항상 거주하고 있다.
[16]| {k{k{행성}k}k} {k{k{왕자}k}k}인 {k{k{미가엘}k}k}을 대신하는 대리인의 권한이, 최근에 {k{k{마키벤타}k}k} {k{k{멜기세덱}k}k}에게 부여됐지만, 지방우주의 이 {k{k{아들}k}k}은, 주재{駐在}하는 총독들의 잇따른 경영을 맡는 현재의 행성 체제를 변경하려는 움직임을 전혀 보이지 않았다.
[17]| 대리 {k{k{행성}k}k} {k{k{왕자}k}k}가 자신의 직함에 맞는 책임을 맡으려고 도착하지 않는다면, 현재 섭리시대 동안에, {k{k{유란시아}k}k} 정부에서 어떤 현저한 변화든지 일어날 가능성이 거의 없다. 우리 동역자들 중에서 더러는, 언젠가 가까운 장래에, 24조언자 가운데 한 명을 {k{k{유란시아}k}k}에 보내서 총독으로 활동하도록 하는 계획을, {k{k{유란시아}k}k} 주권에 대한 대리 통치권을 가진 {k{k{마키벤타}k}k} {k{k{멜기세덱}k}k}의 공식적인 도착이 대체할 것이라고 생각한다. 의심할 여지없이, {k{k{루시퍼}k}k} 반역에 대한 최종 판결이 있을 때까지, 그리고 아마 행성이 빛과 생명에 정착하는 먼 훗날에 이르기까지 줄곧, 그가 대리 {k{k{행성}k}k} {k{k{왕자}k}k}로서 행성을 책임질 것이다.
[18]| 더러는, 현재 섭리시대가 끝날 때까지, {k{k{마키벤타}k}k}가 {k{k{유란시아}k}k} 직무를 친히 지휘하려고 내려오지 않을 것이라고 믿는다. 더러는, {k{k{미가엘}k}k}이 아직 육신 속에 있었을 때 약속했던 것처럼 언젠가 {k{k{유란시아}k}k}에 돌아올 때까지, 대리 {k{k{왕자}k}k}가 그런 식으로 도래하지 않을 것이라고 생각한다. 또 더러는, 이렇게 이야기하고 있는 본인도 포함해서, 어느 날 또는 어느 시각에든지 {k{k{멜기세덱}k}k}이 나타나리라고 고대하고 있다.
[19]| {b{b{2. }b}b}{b{b{{k{k{행성}k}k}}b}b}{b{b{ }b}b}{b{b{{k{k{감독관}k}k}}b}b}{b{b{ }b}b}{b{b{{k{k{위원회}k}k}}b}b}
