[1]| 제119편{{{br}}} 그리스도 미가엘의 증여
[3]| {k{k{네바돈}k}k}의 {k{k{저녁별}k}k}들의 {k{k{우두머리}k}k}인 나는, {k{k{우주}k}k} {k{k{통치자}k}k}인 {k{k{네바돈}k}k}의 {k{k{미가엘}k}k}이 일곱 차례에 걸쳐서 증여했다는 이야기를 계시하는 사명을 {k{k{가브리엘}k}k}로부터 받고 {k{k{유란시아}k}k}에 배정됐으며, 내 이름은 {k{k{가바리아}k}k}다. 본 문서를 만들면서, 나는 내 임무에 부과된 제한 조건을 엄밀히 지킬 것이다.
[4]| 자신을 증여하는 속성은 {k{k{만유의}k}k} {k{k{아버지}k}k}의 {k{k{낙원}k}k} {k{k{아들}k}k}들에게 선천적이다. 다양한 계층의 {k{k{낙원}k}k} {k{k{아들}k}k}들은, 자신에게 종속된 살아있는 피조물의 인생 체험에 가까이 가려는 바램으로, {k{k{낙원}k}k} 부모의 신성한 본성을 반영하고 있다. {k{k{낙원}k}k} {k{k{삼위일체}k}k} 가운데 {k{k{영원한}k}k} {k{k{아들}k}k}이 이 관례에 앞장섰으며, 시간과 공간 세계에서 온 첫 순례자인 {k{k{그랜환다}k}k}가 상승하던 시절에, {k{k{하보나}k}k}의 일곱 회로에 자신을 일곱 번 증여했다. 그리고 {k{k{영원한}k}k} {k{k{아들}k}k}은, 자신의 대행자인 {k{k{미가엘}k}k}들 및 {k{k{아보날}k}k} {k{k{아들}k}k}들의 인격자 속에서, 공간의 지방우주들에 자신을 계속 증여한다.
[5]| 입안된 지방우주에 {k{k{영원한}k}k} {k{k{아들}k}k}이 {k{k{창조주}k}k} {k{k{아들}k}k}을 증여할 때, 그 {k{k{창조주}k}k} {k{k{아들}k}k}은 새로운 우주를 완성하고, 통제하고, 조직하는 총 책임을 맡는데, 이것은, 그가 일곱 차례에 걸쳐서 증여를 성공적으로 완성하고, 관할하는 연방우주의 {k{k{태고}k}k} {k{k{항존자}k}k}들의 보증을 받기까지, 그 새 창조물에 대한 온전한 주권을 행사하지 않겠다고, 영원한 {k{k{삼위일체}k}k}에게 드리는 엄중한 맹세를 포함한다. 우주를 조직하고 창조하기 위해 {k{k{낙원}k}k}에서 밖으로 나가기를 자청하는 {k{k{미가엘}k}k} {k{k{아들}k}k}은 모두 이 의무를 떠맡는다.
[6]| 이렇게 피조물로서 육신화하는 목적은, 그런 {k{k{창조주}k}k}들이, 현명하고, 동정적이고, 올바르고, 이해심 있는 주권자가 될 수 있게 하려는 것이다. 신성한 이 {k{k{아들}k}k}들은 선천적으로 올바르지만, 연속되는 이 증여 체험 결과로 사려 깊게 자비로운 존재가 되며;천부적으로 자비롭지만, 이 체험들이 그들을 새롭고 추가적인 방법에서 자비롭도록 만든다. 이 증여는, 신성한 정의로, 그리고 올바른 판단으로 지방우주를 통치하는 숭고한 과제를 위해 그들이 받는 교육과 훈련에서 마지막 과정이다.
[7]| 이 증여에 영향을 받고 혜택을 입는 다른 계층의 우주 지성체들뿐 아니라, 가지각색의 세계, 체계, 및 성좌들에게 수많은 부수적{附隨的} 유익이 생기더라도, 증여는 근본적으로, {k{k{창조주}k}k} {k{k{아들}k}k} 자신의 개인적 훈련과 우주 교육을 완성하도록 계획돼 있다. 이 증여들은, 한 지방우주를 현명하고 의로우며 효과적으로 관리하는 데 근본적으로 필요한 것은 아니지만, 다채로운 형태의 생명 그리고 지성적이지만 완전치 못한 무수한 피조물이 가득한 그런 창조물을, 공정하고, 자비롭고, 이해심 있게 경영하는 데 절대로 필요하다.
[8]| {k{k{미가엘}k}k} {k{k{아들}k}k}들은, 자신이 창조한 다양한 계층의 존재에 대한 충분하고 공정한 연민의 정을 갖고 우주를 조성하는 업무를 시작한다. 그들은 이 모든 다른 피조물에게 베풀려고 엄청난 자비를 축적했으며, 심지어 스스로 만들어낸 이기적 수렁에서 잘못을 범하고 허우적거리는 자들을 가엾게 여기는 마음까지 지녔다. 그러나 공의와 정의로 이뤄진 그런 재능이, {k{k{태고}k}k} {k{k{항존자}k}k}들의 평가를 만족시키지는 못할 것이다. 연방우주들의 이 삼중 통치자들은, {k{k{창조주}k}k} {k{k{아들}k}k} 자신이 실존하는 환경에서, 그리고 바로 이런 피조물 자신으로서 실제로 체험함으로 피조물 관점을 정말로 획득하기 전에는, 결코 그를 {k{k{우주}k}k} {k{k{통치자}k}k}로 인정하지 않을 것이다. 이런 식으로 그런 {k{k{아들}k}k}들은 지성적이고 이해심 많은 통치자가 되며;자신이 다스리고 우주 권세를 행사할 다양한 집단을 {i{i{알게}i}i} 된다. 그들은 생생한 체험을 겪음으로써, 체험하는 피조물 실존에서 생겨나는, 실용적 자비, 공정한 판단력, 및 인내심을 몸소 소유한다.
[9]| {k{k{네바돈}k}k} 지방우주는, 자신의 증여 복무를 완료한 한 {k{k{창조주}k}k} {k{k{아들}k}k}이 지금 통치하고 있으며;그는 진화하고 완전하게 돼가고 있는 자기 우주의 방대한 영역 전체를, 공정하고 자비로운 최고 지위에서 통치한다. {k{k{네바돈}k}k}의 {k{k{미가엘}k}k}은, 시간과 공간의 우주들에게 {k{k{영원한}k}k} {k{k{아들}k}k}이 611,121번째로 증여한 분이고, 그는 4천억 년 전에 너희 지방우주를 조직하기 시작했다. {k{k{미가엘}k}k}은, {k{k{유란시아}k}k}가 현재의 형태를 갖출 무렵인 약 10억 년 전에, 첫 증여 모험을 준비했다. 그의 여러 증여는 1억 5천만 년의 간격을 두고 발생했는데, 마지막 증여는 약 1,900년 전에 {k{k{유란시아}k}k}에서 이뤄졌다. 나는 이제, 이 여러 증여의 본질과 특징에 대해서, 내 직권이 허락하는 만큼 충실히 밝히려고 한다.
[10]| {b{b{1. }b}b}{b{b{{k{k{첫}k}k}}b}b}{b{b{ }b}b}{b{b{{k{k{번째}k}k}}b}b}{b{b{ }b}b}{b{b{{k{k{증여}k}k}}b}b}
[11]| 거의 10억 년 전에, {k{k{네바돈}k}k} 우주의 지휘자들과 대표들이 모인 자리에서, 그가 (곧 {k{k{미가엘}k}k}이) 밝혀지지 않은 사명을 위해서 자리를 비우는 동안, 그의 형님인 {k{k{임마누엘}k}k}이 {k{k{네바돈}k}k}에서의 주권을 곧 대신하게 될 것임을 {k{k{미가엘}k}k}이 밝혔을 때, 그것은 {k{k{살빙톤}k}k}에서 장엄한 행사였다. 다른 여러 지침 가운데 {k{k{성좌}k}k} {k{k{아버지}k}k}들에게 보낸 작별 인사를 제외한다면:“내 {k{k{낙원}k}k} {k{k{아버지}k}k} 뜻을 행하기 위해 내가 떠나있는 이 기간에, 너희를 {k{k{임마누엘}k}k}의 보살핌과 보존에 맡기겠다”는 말 외에는, 이 진행사항에 대한 아무런 발표도 없었다.
[12]| 이 작별 방송을 내보낸 후에, {k{k{미가엘}k}k}이 {k{k{살빙톤}k}k}의 파송 광장에 나타났는데, 혼자 왔다는 사실 외에는, {k{k{우버사}k}k} 또는 {k{k{낙원}k}k}으로 떠나기 위해서 준비하던 그 전의 여러 경우와 조금도 다를 바 없었다. 그는 출발 성명서를 발표하면서 이렇게 마무리했다:“나는 너희를 잠시 떠날 것이다. 너희 가운데 다수가 나와 함께 가려하는 것을 내가 알지만, 나는 너희가 갈 수 없는 곳으로 떠나는 것이다. 내가 하려는 일을 너희는 할 수 없다. 나는 {k{k{낙원}k}k} {k{k{신격}k}k}들의 뜻을 행하기 위해 가는 것이며, 내 사명을 마치고 이 체험을 획득하면, 너희 가운데 내 자리로 돌아올 것이다.” 그렇게 말하는 순간, {k{k{네바돈}k}k}의 {k{k{미가엘}k}k}은 거기에 모인 모든 존재의 눈앞에서 사라졌고, 표준시간으로 20년 동안 다시 나타나지 않았다. {k{k{살빙톤}k}k} 전체에서, {k{k{신성한}k}k} {k{k{통치자}k}k}와 {k{k{임마누엘}k}k}만이 무슨 일이 있어났는지 알았으며, {k{k{합동}k}k} {k{k{항존자}k}k}들은 이 비밀을, 오직 우주의 최고 행정관인 {k{k{가브리엘}k}k}, 즉 {k{k{빛나는}k}k} {k{k{새벽별}k}k}과 공유했다.
