[1]| 제125편{{{br}}} 예루살렘에서 예수
[3]| {k{k{예수}k}k}의 다사한 지상{地上} 생애에서, 그의 기억으로는 처음인 이 {k{k{예루살렘}k}k} 방문보다 더 매력적이고 인간적으로 감동적인 경우는 없었다. 그는 홀로 성전 토론에 참여한 체험으로 특히 고무됐으며, 이것은 후반기 유년시절과 초반부 소년기의 큰 사건으로서 그의 기억에 오래 남아있었다. 이것은 그가 며칠 동안의 독립적인 생활, 즉 어떤 제재나 제약도 받지 않고 마음대로 드나드는 들뜬 기분을 맛본 최초의 기회였다. {k{k{유월절}k}k} 이후 1주일 동안, 지시받지 않고 살았던 이 짧은 기간은, 그가 전에 누렸던 것들 중에서, 책무로부터 가장 완전하게 해방된 기간이었다. 그리고 그 후로, 비록 짧은 시간이나마, 그가 모든 책임감에서 벗어나서 이와 비슷한 해방의 기간을 다시 가질 수 있었던 것은 여러 해가 지난 후였다.
[4]| 여자들은 {k{k{예루살렘}k}k}의 {k{k{유월절}k}k} 축제에 거의 참여하지 않았으며;참여할 의무가 없었다. 하지만 {k{k{예수}k}k}는, 어머니가 함께 가지 않으면 자기도 가지 않겠다고 실질적으로 거절했다. 그리고 어머니가 가기로 결심하자, 다른 여러 {k{k{나사렛}k}k} 여자도 함께 따라 나섰으며, 따라서 지금까지 {k{k{나사렛}k}k}에서 {k{k{유월절}k}k}에 올라갔던 무리들 중에서 남자와 여자의 비례로 볼 때, 여자의 비율이 이번 {k{k{유월절}k}k}처럼 높았던 적이 없었다. {k{k{예루살렘}k}k}으로 가는 도중에 그들은 때때로 {k{k{시편}k}k} 130편을 노래했다.
[5]| 그들이 {k{k{나사렛}k}k}을 떠날 때부터 {k{k{감람산}k}k} 정상에 도착할 때까지, {k{k{예수}k}k}는 굉장한 기대감으로 줄곧 긴장되는 체험을 했다. 즐거웠던 어린 시절 내내, 그는 {k{k{예루살렘}k}k}과 그곳의 성전에 관해 경건하게 들어왔었는데;이제 곧 그것들을 실제로 보게 된 것이다. 그가 {k{k{감람산}k}k}에서 그리고 밖으로부터 점점 가까이 면밀히 보게 됐을 때, 성전은 {k{k{예수}k}k}가 기대했던 것 이상이었지만;신성시되는 입구로 일단 들어가자, 큰 혐오감이 일어났다.
[6]| 이제 곧 {k{k{이스라엘}k}k}의 시민으로 봉헌될 새로운 율법의 아들들 무리와 합류하기 위하여 가는 길에, {k{k{예수}k}k}는 부모와 함께 성전 경내를 지나가게 됐다. 그는 성전에 들어온 군중의 대체적 행실에 약간 실망했지만, 그날 그가 받은 첫 번째 큰 충격은 어머니가 일행을 떠나 여자들의 처소로 갔을 때였다. {k{k{예수}k}k}는 어머니가 봉헌 예식에 자신과 함께 참석하지 않으리라는 생각을 해 본 적이 없었고, 어머니가 그런 불공정한 차별로 고통 받게 됐다는 것에 크게 분개했다. 그는 이 일로 몹시 화났지만, 아버지에게 몇 마디 불만을 표시한 이외에는, 아무 말도 하지 않았다. 그러나 그는 깊이 생각하고 또 생각했으며, 이것은 1주일 후에 서기관과 선생들에게 던진 여러 질문에서 드러났다.
[7]| 봉헌 제례식을 잘 마쳤지만, 그는 이 예식이 형식적이고 틀에 박힌 것에 실망했다. 그는, 각 개인에게 관심을 기울이는 것이 특징인, {k{k{나사렛}k}k} 회당의 예식이 몹시 생각났다. 그리고 나서 그는 어머니에게 인사하러 돌아갔고, 아버지와 함께, 성전과 그 안에 있는 다양한 뜰과 방 그리고 복도를 처음으로 돌아보고자 했다. 성전 경내는 한 번에 20만 명 이상의 경배자를 수용할 수 있었으며, --그가 전에 보았던 모든 것과 비교할 때-- 이 건물의 방대함이 그의 정신을 크게 감동시켰지만, 그는 성전 예식과 거기에 관련된 경배의 영적 의미심장함을 숙고하는 일에 더 관심을 뒀다.
[8]| 성전의 제례식 가운데 다수가, 그의 심미적이고 상징적인 감각에 매우 감동적인 인상을 주기는 했지만, 그의 예리한 여러 질문에 대한 답으로 부모가 제시하려했던, 이런 예식의 실제 의미에 대한 설명에 그는 늘 실망했다. {k{k{예수}k}k}는, {k{k{하나님}k}k}이 진노하시거나 {k{k{전능자}k}k}가 노여워한다는 믿음에 근거하여 경배와 종교적 헌신을 설명하는 말을 그저 받아들이려 하지 않았다. 성전 방문이 끝난 후에 이 문제를 계속 토론하는 가운데, 아버지가 그에게 {k{k{유대인}k}k}의 전통적 믿음을 받아들이기를 고백하도록 완곡하게 타이르게 됐을 때, {k{k{예수}k}k}는 갑자기 부모에게 돌아서서 아버지의 눈을 애원하듯 쳐다보며 말했다:“아버지, 그것은 사실이 아닙니다--이 세상에서 잘못을 저지르는 자녀를, 하늘에 계신 {k{k{아버지}k}k}께서 그렇게 대하실 수 없습니다. 하늘에 계신 {k{k{아버지}k}k}께서 자녀를 사랑하심이, 아버지가 나를 사랑하는 것보다 더 작을 수는 없습니다. 그리고 내가 어쩌다가 어리석은 일을 할지라도 아버지가 내게 분노하거나 화내지 않는다는 것을 잘 압니다. 내 육신의 아버지도 {k{k{신성한}k}k} {k{k{분}k}k}의 성품을 이렇게 소유하는데, 하늘에 계신 {k{k{아버지}k}k}께서는 얼마나 더 선하고 자비가 넘치시겠습니까? 하늘에 계신 {k{k{아버지}k}k}께서, 이 세상의 아버지보다 나를 덜 사랑하신다고는 믿지 않겠습니다.”
[9]| {k{k{요셉}k}k}과 {k{k{마리아}k}k}는 맏아들의 이런 말을 들으면서, 잠자코 있었다. 그리고 {k{k{하나님}k}k}의 사랑과 하늘에 계신 {k{k{아버지}k}k}의 자비로우심에 관한 그의 마음을 바꾸려고 그들이 다시 시도하는 일은 결코 없었다.
[10]| {b{b{1. }b}b}{b{b{{k{k{성전을}k}k}}b}b}{b{b{ }b}b}{b{b{{k{k{둘러보는}k}k}}b}b}{b{b{ }b}b}{b{b{{k{k{예수}k}k}}b}b}{b{b{ }b}b}
[11]| {k{k{예수}k}k}는 성전에 있는 여러 뜰 전체를 하나씩 둘러볼 때마다, 자신이 목격한 불경스런 풍조로 인해 충격을 받았고 기분이 상했다. 그는, 성전에 있는 군중의 행동은 “{k{k{아버지}k}k} 집”에 들어온 자들의 모습과 상반된다고 여겼다. 그러나 아버지가 그를 이방인의 뜰로 데리고 들어갔을 때, 어린 시절의 그는 충격을 받았는데, 그들의 시끄러운 사투리와 큰 소리의 지껄임과 욕지거리들이, 양들의 울음소리와 환전하는 자나 희생동물을 판매하는 자들과 잡상인의 떠드는 소리와 함께 얽혀서, 매우 소란스러웠다.
[12]| 그러나 무엇보다도, 최근에 {k{k{세포리}k}k}를 방문했을 때 그가 본 적이 있는 화장 한 여자와 똑같은, 천박한 매춘부들이 이 성전 경내를 활보하고 있는 광경으로 인해, 그의 예의범절 감각이 분노로 끓어올랐다. 성전이 더럽혀졌다는 생각은 그의 혈기 왕성한 의분{義憤}을 자극하기에 충분했으며, 자신이 느낀 그대로를 주저하지 않고 {k{k{요셉}k}k}에게 말했다.
[13]| {k{k{예수}k}k}는 성전의 분위기와 예배에는 감탄했지만, 무의미하게 경배 드리는 수많은 사람의 얼굴에 비친 영적 추함으로 큰 충격을 받았다.
[14]| 그들은 이제 성전 앞의 돌난간 아래에 있는 제사장들의 뜰로 내려갔으며, 거기에는 제단이 있었고, 동물을 죽이는 장면과, 제사를 집행한 도살 제사장들이 청동으로 만든 그릇에서 피 묻은 손을 씻는 것을 볼 수 있었다. 피로 얼룩진 도로, 제사장의 피투성이의 손, 그리고 죽어가는 동물들의 신음소리에, 자연을 사랑하는 이 소년은 견딜 수 없었다. 그런 흉측한 광경이 이 {k{k{나사렛}k}k} 소년의 비위를 상하게 했으며;그는 아버지의 팔에 매달려서 다른 곳으로 데려가 달라고 애원했다. 그들은 다시 이방인의 뜰을 지나가게 됐지만, 거기서 들려오는 조잡한 웃음소리나 천박한 농담조차, 방금 전에 봤던 광경으로부터 기분을 전환시켰다.
