[1]| 제147편{{{br}}} 막간의 예루살렘 방문
[3]| {k{k{예수}k}k}와 사도들은 3월 17일 수요일에 {k{k{가버나움}k}k}에 도착했고, {k{k{예루살렘}k}k}으로 떠나기 전까지 두 주일을 {k{k{벳새다}k}k} 본부에서 지냈다. 이 두 주 동안 사도들은 해변에서 사람들을 가르쳤고, 한편 {k{k{예수}k}k}께서는 {k{k{아버지}k}k}의 일을 돌보며 언덕에서 홀로 지내는 시간을 많이 가졌다. {k{k{예수}k}k}께서는 이 기간에 {k{k{세베대}k}k}의 아들 {k{k{야고보}k}k}와 {k{k{요한}k}k}을 데리고 {k{k{디베랴}k}k}로 두 번 은밀히 여행했는데, 거기서 신자들을 만났고, 그들에게 천국 복음을 가르쳤다.
[4]| {k{k{헤롯}k}k} 집안에서 여러 사람이 {k{k{예수}k}k}를 믿었고, 이 모임에 참석했다. {k{k{헤롯}k}k}의 정식 가족 가운데서는 이 신자들의 영향으로 인해, {k{k{예수}k}k}에 대한 그 통치자의 적대감이 많이 감소됐다. {k{k{디베랴}k}k}의 이 신자들은, {k{k{예수}k}k}께서 선포하는 “천국”이 본래 영적이고, 정치적 위험성이 없다는 것을 {k{k{헤롯}k}k}에게 충분히 설명했다. {k{k{헤롯}k}k}은 집안사람 중에서 이 식구들을 믿었으며, 따라서 {k{k{예수}k}k}의 가르침과 치유에 대한 널리 퍼진 평판 때문에 과도하게 불안해하지 않기로 마음먹었다. 그는 치유자나 종교 선생으로서 {k{k{예수}k}k}의 일에는 아무런 적대 감정을 갖지 않았다. {k{k{헤롯}k}k}의 여러 조언자, 그리고 바로 {k{k{헤롯}k}k}조차 호의적인 태도를 가졌음에도, {k{k{예루살렘}k}k} 종교 지도자들의 영향을 많이 받던 한 무리의 신하들은, {k{k{예수}k}k}와 사도들에게 모질고 위협적인 적으로 남아 있으면서, 나중에는 그들의 공중 활동을 많이 훼방했다. {k{k{예수}k}k}에게 가장 큰 위험은, {k{k{헤롯}k}k}이 아니라 {k{k{예루살렘}k}k} 종교 지도자들에게 있었다. 그리고 {k{k{예수}k}k}와 사도들은, 바로 이런 이유로 말미암아, {k{k{예루살렘}k}k}과 {k{k{유대지방}k}k}보다 {k{k{갈릴리}k}k}에서 더 많은 시간을 보냈고, 대부분의 대중 전도를 {k{k{갈릴리}k}k}에서 했다.
[5]| {b{b{1. }b}b}{b{b{{k{k{백부장의}k}k}}b}b}{b{b{ }b}b}{b{b{{k{k{하인}k}k}}b}b}
[6]| {k{k{유월절}k}k} 축제에 참석하려고 {k{k{예루살렘}k}k}으로 가기 전날, {k{k{가버나움}k}k}에 배치된 {k{k{로마}k}k} 수비대의 백부장인 지휘관 {k{k{맹거스}k}k}가, 회당 지도자들에게 찾아와서 말했다:“내 충직한 당번병이 병들어 죽게 됐습니다. 그러니 내 대신 {k{k{예수}k}k}께 가서 내 하인을 좀 치유해 달라고 간청해 주시겠습니까?” {k{k{로마}k}k} 중대장은, {k{k{유대인}k}k} 지도자가 {k{k{예수}k}k}께 더 잘 통할 수 있으리라고 생각해서 그렇게 부탁했다. 그래서 장로들이 {k{k{예수}k}k}께 갔고, 그 대변인이 말했다:“{k{k{선생님}k}k}, {k{k{가버나움}k}k}으로 가서 {k{k{로마}k}k} 백부장의 사랑하는 하인을 살려 주시기를 간청하는데, 당신이 그를 주목할 가치가 있는 것은, 그가 우리 민족을 사랑하고, 당신께서도 여러 번 연설했던 바로 그 회당을 우리에게 지어줬기 때문입니다.”
[7]| 그들의 말을 듣고 {k{k{예수}k}k}께서는, “내가 너희와 함께 가겠다”고 말씀했다. 그리고 그들과 함께 백부장의 집으로 갔는데, 그 집 마당에 들어서기 전에 {k{k{로마}k}k} 군인은 친구들을 보내서 {k{k{예수}k}k}를 맞이하게 했고, 그들에게 이렇게 말하도록 지시했다:“{k{k{주}k}k}여, 나는 당신이 내 집에 들어올 만큼 대단한 사람이 못되니, 집안으로 들어오는 수고를 하지 마십시오. 또한 내가 당신 앞에 나갈 자격도 없다고 생각하여;당신과 같은 민족인 장로들을 보냈습니다. 그러나 나는, 당신이 서신 곳에서 말씀만 해도, 내 하인이 치유될 것을 압니다. 나도 다른 사람의 명령을 받으며, 내 아래에 군인들이 있어서, 이 사람에게 가라 하면 가고;저 사람에게 오라 하면 오고, 내 종들에게 이것저것을 하라고 하면 그들이 그렇게 하기 때문입니다.”
[8]| 그리고 이런 말을 듣자, {k{k{예수}k}k}께서는 사도들 및 그들과 함께 있던 사람들을 돌아보면서 말씀했다:“내가 이 이방인의 믿음에 감탄했다. 진실로 진실로 너희에게 말하겠는데, {k{k{이스라엘}k}k} 가운데 아무에게서도 이토록 훌륭한 신앙을 발견하지 못했다.” {k{k{예수}k}k}께서는 그 집에서 돌아서면서, “그러면 돌아가자”고 말씀했다. 집으로 들어간 백부장의 친구들은 {k{k{예수}k}k}께서 한 말씀을 {k{k{맹거스}k}k}에게 들려줬다. 그리고 그 하인은 그 시간부터 차도를 보이기 시작해서, 결국 정상적인 건강과 유용한 상태로 돌아갔다.
[9]| 그러나 우리는 이 경우에 어떤 일이 일어났었는지 전혀 알지 못한다. 단지 이렇게 기록할 뿐이고, 그때 눈에 보이지 않는 존재들이 백부장의 하인을 치유했는지 아닌지는, {k{k{예수}k}k}와 동행했던 사람들에게 알려지지 않았다. 우리는 다만 그 하인이 완쾌됐다는 사실만 알고 있다.
[10]| {b{b{2. }b}b}{b{b{{k{k{예루살렘으로}k}k}}b}b}{b{b{ }b}b}{b{b{{k{k{여행함}k}k}}b}b}
[11]| 3월 30일 화요일 아침 일찍, {k{k{예수}k}k}와 사도 일행은 {k{k{유월절}k}k}에 참여하기 위해 {k{k{요단}k}k} 계곡 길을 따라서 {k{k{예루살렘}k}k}을 향해 길을 떠났다. 그들은 4월 2일 금요일 오후에 도착했고, 다른 때와 마찬가지로 본부를 {k{k{베다니}k}k}에 뒀다. {k{k{여리고}k}k}를 통과하면서, {k{k{유다}k}k}가 자기 가족의 친구가 운영하는 은행에 기금을 예치하는 동안, 그들은 휴식을 취하려고 잠시 멈췄다. {k{k{유다}k}k}가 잉여금을 소지한 것은 이번이 처음이었는데, 이 저축금은, {k{k{예수}k}k}께서 재판을 받고 죽기 직전에 {k{k{예루살렘}k}k}으로 가는 마지막 중대한 여행에서 그들이 {k{k{여리고}k}k}를 다시 지나갈 때까지, 그대로 남아 있었다.
[12]| 그 일행이 {k{k{예루살렘}k}k}으로 여행하는 도중에는 특기할 만한 사건이 없었지만, {k{k{베다니}k}k}에서 아직 자리를 잡기도 전에, 가까운 곳과 먼 곳에서, 육체를 치유받기 위해, 불안한 정신에 위로 받기 위해, 그리고 혼의 구원을 받기위해 너무 많은 사람이 모여들기 시작했기 때문에, {k{k{예수}k}k}께서는 거의 쉴 겨를이 없었다. 따라서 그들은 {k{k{겟세마네}k}k}에 천막을 쳤고, {k{k{주님}k}k}은 끊임없이 몰려드는 인파를 피하기 위해 {k{k{베다니}k}k}와 {k{k{겟세마네}k}k}를 오가곤 했다. 사도 일행이 거의 3주 동안이나 {k{k{예루살렘}k}k}에 머물렀지만, {k{k{예수}k}k}께서는 대중 전도를 하지 말고, 오직 사적으로 가르치고 개인만을 상대로 일하라고 명했다.
