[1]| 제149편{{{br}}} 2차 전도여행
[3]| {k{k{갈릴리}k}k}에서 공적인 2차 전도여행은, 서기 28년 10월 3일 일요일에 시작됐고, 세 달 동안 계속되다가, 12월 30일에 끝났다. {k{k{예수}k}k}와 열두 사도는, 새로 뽑은 117명의 전도자 단체와, 수많은 다른 관심 있는 사람의 도움을 받으면서 이 일을 진행했다. 그들은 이 여행을 통해서, {k{k{가다라}k}k}, {k{k{프톨레마이스}k}k}, {k{k{야피아}k}k}, {k{k{다바리따}k}k}, {k{k{므깃도}k}k}, {k{k{에즈릴}k}k}, {k{k{스키토폴리스}k}k}, {k{k{다리키아}k}k}, {k{k{힙보}k}k}, {k{k{가말라}k}k}, {k{k{벳새다}k}k}_{k{k{유리아}k}k}, 그리고 기타 여러 도시와 마을을 방문했다.
[4]| 이 일요일 아침에 떠나기 전에, 새 전도자들에게 최종 책무를 제시해 달라고 {k{k{안드레}k}k}와 {k{k{베드로}k}k}가 {k{k{예수}k}k}께 청했으나, {k{k{주님}k}k}은 사양하면서, 다른 사람이 충분히 수행할 수 있는 그런 일은 자신의 직무가 아니라고 말씀했다. 충분한 토의 끝에, {k{k{세베대}k}k}의 아들 {k{k{야고보}k}k}가 책임을 맡기로 결정했다. {k{k{야고보}k}k}의 말이 결론에 이르자, {k{k{예수}k}k}께서 전도자들에게 말씀했다:“너희는 나가서 자신이 맡은 업무를 행하라, 그리고 나중에, 너희가 스스로 자격 있고 신실하다는 것을 보이면, 내가 그때 천국 복음을 전파하도록 너희를 임명하겠다.”
[5]| 이번 여행에서는 {k{k{야고보}k}k}와 {k{k{요한}k}k}만이 {k{k{예수}k}k}와 함께 이동했다. {k{k{베드로}k}k} 및 다른 사도들은 각각 약 열두 명에 달하는 전도자를 함께 데리고 다녔으며, 전도하고 가르치는 일을 수행하는 동안 그들과 긴밀한 접촉을 유지했다. 사도들은, 신자들이 천국으로 들어올 준비가 되는 즉시 세례를 베풀고자 했다. {k{k{예수}k}k}와 두 동행자는 이 세 달 동안 광범하게 여행했는데, 때로는 하루에 두 도시를 방문하면서, 전도자들의 활동을 돌아보고, 천국을 건설하려는 그들의 노력에 용기를 북돋아 줬다. 이 2차 전도여행 전체는 주로, 새로 훈련받은 117명의 이 전도자 단체에게 실질적 체험을 제공하기 위한 운동이었다.
[6]| 이 기간 내내 그리고 계속해서, {k{k{예수}k}k}와 열두 사도가 {k{k{예루살렘}k}k}을 향해 마침내 출발할 때까지, {k{k{세베대}k}k}의 아들 {k{k{다윗}k}k}은 천국 업무를 위한 상설 본부를, {k{k{벳새다}k}k}에 있는 {k{k{아버지}k}k} 집에서 꾸려나갔다. 이것은 이 세상에서 {k{k{예수}k}k}의 업무를 위한 정보 교환소였고, {k{k{다윗}k}k}이 {k{k{팔레스틴}k}k}의 여러 지역과 주변 지역들 사이에 진행했던 심부름꾼 봉사를 위한 교대 장소였다. 그는 {k{k{안드레}k}k}의 승인만 얻어서 자신의 결단에 따라 이 모든 일을 행했다. {k{k{다윗}k}k}은 급속도로 확대되고 확장되는 천국 업무에서 이 정보 분야에 40에서 50명의 심부름꾼을 고용했다. 그런 식으로 일하는 동안, 그는 예전의 고기잡이 일에도 시간을 할애해서, 일부나마 경비를 충당했다.
[7]| {b{b{1. }b}b}{b{b{{k{k{널리}k}k}}b}b}{b{b{ }b}b}{b{b{{k{k{퍼진}k}k}}b}b}{b{b{ }b}b}{b{b{{k{k{예수의}k}k}}b}b}{b{b{ }b}b}{b{b{{k{k{명성}k}k}}b}b}
[8]| {k{k{벳새다}k}k} 야영지가 해산될 무렵에는, {k{k{예수}k}k}의 명성, 특히 치유자로서의 명성이, {k{k{팔레스틴}k}k} 전 지역을 위시해서 {k{k{시리아}k}k}와 주변 모든 지방에 퍼졌다. 그들이 {k{k{벳새다}k}k}를 떠난 후에도 여러 주 동안 병자들이 계속 거기에 도착했다. 그리고 그들이 {k{k{주님}k}k}을 만나지 못했을 때에는, {k{k{주님}k}k}이 있는 곳을 {k{k{다윗}k}k}에게서 알아낸 후에 그를 찾아가곤 했다. {k{k{예수}k}k}께서는 이 여행에서, 소위 기적이라고 불리는 치유를, 의도적으로 행하지 않았다. 그럼에도, 고난당하는 수십 명이, 치유를 추구하도록 자신을 재촉한 끈질긴 신앙에서 나오는 재건하는 능력의 결과로, 건강과 행복을 되찾았다.
[9]| 이 사명을 수행하던 무렵에 --그리고 이 땅에서 {k{k{예수}k}k}의 나머지 생애 내내 계속-- 이상하고 설명되지 않는 일련의 치유 현상이 나타나기 시작했다. 이 세 달 동안의 여행 도중에, {k{k{유대지방}k}k}, {k{k{이두메}k}k}, {k{k{갈릴리}k}k}, {k{k{시리아}k}k}, {k{k{두로}k}k}, {k{k{시돈}k}k}, 및 {k{k{요단강}k}k} 너머에 있는 지방에서 온 100명 이상의 남녀 어른과 아이들이, {k{k{예수}k}k}의 이런 무의식 치유의 혜택을 입었으며, 그들은 고향으로 돌아가서 {k{k{예수}k}k}의 명성을 더욱 확장시켰다. 그리고 자생적인 치유가 일어나는 것을 볼 때마다, 혜택을 입은 자들에게 “아무에게도 말하지 말라”고 {k{k{예수}k}k}께서 직접 지시했음에도, 그들은 지시를 따르지 않았다.
[10]| 임의로 일어나는, 즉 무의식적인 이런 치유의 경우에, 무슨 일이 일어났는지에 대해 우리에게 전혀 계시되지 않았다. {k{k{주님}k}k}은 이런 치유가 어떻게 일어났는지를 사도들에게 한 번도 설명해 주지 않았고, 다만 몇 번의 경우에, “능력이 내게서 나간 줄을 내가 안다”고 말씀했을 뿐이다. 한번은, 병든 아이가 그에게 손을 대자, {k{k{주님}k}k}은 “생기{生氣}가 내게서 나간 줄을 내가 안다”고 말씀했다.
[11]| 이런 무의식 치유의 본질에 관해 {k{k{주님}k}k}이 직접 말씀하지 않은 상태에서, 그것이 어떻게 일어났었는지를 설명하려고 시도하는 것은 우리에게 주제넘은 일인 줄 알지만, 그런 모든 치유 현상에 대한 우리의 의견을 기록하는 것은 허용될 수 있을 것이다. 우리가 믿기에, {k{k{예수}k}k}의 이 세상 사역 도중에 일어났던, 이런 외견상 치유 기적 가운데 다수는, 다음 세 가지의 강력하고 효력 있고 연합된 영향이 공존한 결과였던 것 같다:
[12]| 1. 그런 치유가 순수한 육체적 회복보다는 영적 혜택을 갈구했다는 사실과 더불어, 끊임없이 치유 받기를 갈망하는 인간 심성에 있는 강하고 우세하고 생생한 신앙이 현존함. 
