[1]| 제158편{{{br}}} 변형되신 산
[3]| {k{k{예수}k}k}와 동역자들이 {k{k{헤르몬}k}k} {k{k{산}k}k} 어귀에 당도한 것은, 서기 29년 8월 12일 금요일 해질녘이었는데, 그곳은 {k{k{주님}k}k}이 {k{k{유란시아}k}k}의 영적 운명을 확립시키고, {k{k{루시퍼}k}k}의 반역을 원칙적으로 종결시키기 위해 홀로 산에 올라가 있는 동안, {k{k{티그랏}k}k}이라는 소년이 기다렸던 바로 그 장소와 가까웠다. 그리고 그들은 곧 닥쳐올 사건들을 위해 영적 준비를 하면서 이곳에 이틀 동안 머물렀다.
[4]| {k{k{예수}k}k}께서는 대체로, 그 산에서 무슨 일이 벌어질지 미리 알았고, 사도들이 모두 이 체험을 함께 나눌 수 있게 되기를 매우 고대했다. {k{k{예수}k}k}께서 그들과 함께 그 산 어귀에 머문 것은, 자신에 대한 이 계시에 그들이 준비되도록 하기 위함이었다. 그러나 그들은, 그토록 빨리 이 땅에 모습을 드러낸 천상의 존재들의 방문을 온전히 체험하기에는, 영적 수준이 아직 미치지 못했다. 그리고 동역자를 전부 데려갈 수는 없었기 때문에, 그런 특별한 경우마다 늘 자기를 따르게 했던 세 명에게만 동행을 허락하기로 결정했다. 따라서, {k{k{베드로}k}k}, {k{k{야고보}k}k}, 및 {k{k{요한}k}k}만이, 비록 일부분이기는 했지만, 이 독특한 체험에 {k{k{주님}k}k}과 함께 참여할 수 있었다.
[5]| {b{b{1. }b}b}{b{b{{k{k{변형되심}k}k}}b}b}
[6]| 8월 15일 월요일 이른 아침에, {k{k{예수}k}k}와 세 사도는 {k{k{헤르몬}k}k} {k{k{산}k}k}을 오르기 시작했으며, 이날은 길 옆에 있는 뽕나무 아래서 정오에 {k{k{베드로}k}k}가 잊을 수 없는 고백을 한 지 엿새 지난 때였다. 
[7]| {k{k{예수}k}k}께서는 이 체험이 자기가 창조한 우주와 관련된 것인 만큼, 중요한 문제에 대한 처리사항이 육신 속에서 그의 증여에 진보를 가져오도록 하기 위해, 혼자서만 따로 산을 오르도록 요청 받았었다. {k{k{예수}k}k}와 사도들이 이방인의 땅에 있는 바로 그 시기 동안에 이 특별한 사건이 일어났다는 사실과, 이방인의 산에서 실제로 발생했다는 것은 매우 의미심장한 일이다. 
[8]| 그들은 정오 직전에 산 중턱에 있는 목적지에 도착했고, 점심을 먹는 동안, {k{k{예수}k}k}께서는 세례 받은 후에 {k{k{요단}k}k}의 동쪽에 있는 언덕에서 체험했던 어떤 것을, 그 세 사도에게 간단히 이야기했으며, 또한 이 외진 은신처에 자신이 전에 방문했던 것과 관련된, {k{k{헤르몬}k}k} {k{k{산}k}k}에서 체험한 것에 대해서도 약간 더 말씀했다. 
[9]| {k{k{예수}k}k}께서는 소년 시절에 자기 집에서 가까운 그 언덕을 자주 올라갔고, {k{k{에스드랠론}k}k} 평원에서 여러 제국의 군대가 싸웠던 전투에 대해 꿈을 꾸곤 했으나;이제는, {k{k{유란시아}k}k}에 자신을 증여하는 연극의 종결 장면을 공연하기 위해 {k{k{요단}k}k} 평원으로 내려가도록 자신을 준비시킬 자질을 부여받으려고, {k{k{헤르몬}k}k} {k{k{산}k}k}으로 올라갔다. {k{k{주님}k}k}은 이날, {k{k{헤르몬}k}k} {k{k{산}k}k}에서 투쟁을 포기하고 우주 영토들에 대한 통치로 돌아갈 수도 있었지만, {k{k{낙원}k}k}에 계신 {k{k{영원한}k}k} {k{k{아들}k}k}의 명령에 포함된, 신성한 아들신분 계층에 대한 요구조건을 만족시킬 뿐만 아니라, {k{k{낙원}k}k} {k{k{아버지}k}k}의 당면한 뜻도 끝까지 온전히 이뤄드리기로 작정했다. 8월의 이날에 세 사도는, 그가 온전한 우주 권세로 덧입힘 받기를 거절하는 것을 봤다. {k{k{사람의}k}k} {k{k{아들}k}k}이자 {k{k{하나님의}k}k} {k{k{아들}k}k}로서 이 세상에서 삶을 마치도록, 천상{天上}의 사자들이 그를 홀로 두고 떠나는 것을, 그들은 경이로운 눈으로 지켜봤다. 
[10]| 사도들의 신앙은, 5천 명을 먹일 때 높은 지점에 있었으나, 곧 급속도로 줄어들어 거의 전무{全無}했다. 그러나 이제, {k{k{주님}k}k}이 자신의 신성{神性}을 인정한 결과로, 침체되던 열두 사도의 신앙은, 이어지는 몇 주에 걸쳐서 최고조에 달하게 되며, 그 뒤로는 오직 점진적 쇠퇴만 체험하게 된다. 그들의 신앙이 세 번째로 소생한 것은 {k{k{주님}k}k}의 부활 후에야 이뤄졌다.
[11]| 이 아름다운 오후에 세 시쯤 됐을 때, {k{k{예수}k}k}께서 세 사도를 떠나면서, “{k{k{아버지}k}k}와 그의 사자{使者}들과 대화하기 위해 잠시 나 혼자 가려 하니;너희는 여기 머물러서 내가 돌아오기까지 기다리는 동안, {k{k{사람의}k}k} {k{k{아들}k}k}의 남은 증여 사명과 관련된 너희의 모든 체험에서 {k{k{아버지}k}k} 뜻이 이뤄지도록 기도하라”고 말씀했다. {k{k{예수}k}k}께서는 그들에게 이 말씀을 한 후에, {k{k{가브리엘}k}k} 및 {k{k{아버지}k}k} {k{k{멜기세덱}k}k}과 긴 회담을 하기 위해 떠나있으면서, 여섯 시가 되도록 돌아오지 않았다. {k{k{예수}k}k}께서는 자기가 오랫동안 함께 있지 않는 것에 대해 그들이 염려했음을 보자:“너희는 왜 두려워했느냐? 내가 {k{k{아버지}k}k}의 일을 해야만 함을 너희도 잘 아는데;내가 너희와 함께 있지 않을 때 무엇 때문에 의심하느냐? 내가 이제 분명히 말하지만, {k{k{사람의}k}k} {k{k{아들}k}k}은 너희와 함께, 그리고 너희 가운데 하나로서 모든 삶을 보내기로 작정했다. 기운을 내라;나는 내 업무가 완료될 때까지 너희를 떠나지 않을 것이라”고 말씀했다
[12]| 그들이 간단한 저녁 식사를 하고 있을 때, {k{k{베드로}k}k}가 {k{k{주님}k}k}께 질문했다. “우리는 형제들과 떨어져서 얼마 동안이나 더 이 산에 머물게 됩니까?” 그리고 {k{k{예수}k}k}께서 대답했다:“너희가 {k{k{사람의}k}k} {k{k{아들}k}k}의 영광을 보고, 내가 너희에게 공언한 것은 무엇이든지 참이라는 것을 알게 될 때까지다.” 그리고 그들은 빨갛게 달아오른 모닥불 곁에서, {k{k{루시퍼}k}k}의 반역에 관한 일들을 이야기하다가 밤이 깊어지자, 그날 아침에 매우 일찍부터 여행을 시작했으므로 사도들의 눈은 점차 무거워지기 시작했다.
[13]| 세 사도는 약 반 시간쯤 깊이 잠들었다가, 곁에서 탁탁하는 소리를 듣고 급히 깨어났으며, {k{k{예수}k}k}께서 천상의 세계의 광채가 나오는 복장을 입은 찬란한 두 존재와 긴밀하게 대화하는 것을 보고 깜짝 놀라서 정신을 잃을 정도가 됐다. 그리고 {k{k{예수}k}k}의 얼굴과 외모도 하늘의 광채로 환하게 빛났다. 이상한 언어로 대화하는 이 세 명은 뭔가 특별한 일을 이야기하는 것 같았는데, {k{k{베드로}k}k}는 {k{k{예수}k}k}와 함께 한 이들이 {k{k{모세}k}k}와 {k{k{엘리야}k}k}라고 착각했으나;실제로 그들은 {k{k{가브리엘}k}k}과 {k{k{아버지}k}k} {k{k{멜기세덱}k}k}이었다. {k{k{예수}k}k}의 요청으로, 사도들이 이 광경의 목격자가 될 수 있도록 하기 위해, 물리 통제관들이 조처했다.
