[1]| 제167편{{{br}}} 필라델피아 방문
[3]| {k{k{베레아}k}k}에서 사역한 이 기간 내내, 70인이 활동하던 여러 장소에 {k{k{예수}k}k}와 사도들이 방문한 것을 언급할 때 상기해야 할 점은, 적어도 두 명의 사도는 {k{k{펠라}k}k}에서 대중을 가르치기 위해 남았으므로, 대개 열 명만이 {k{k{주님}k}k}과 함께 있었다는 것이다. {k{k{예수}k}k}께서 {k{k{필라델피아}k}k}로 계속 여행하려고 준비했을 때, {k{k{시몬}k}k} {k{k{베드로}k}k}와 형제 {k{k{안드레}k}k}는, 모인 사람을 가르치려고 {k{k{펠라}k}k}에 있는 야영지로 돌아갔다. {k{k{주님}k}k}이 {k{k{베레아}k}k}를 방문하기 위해 {k{k{펠라}k}k} 야영지를 떠났을 때, 300내지 500명이 그를 따랐던 것은 특기할만한 일이 아니었다. 그가 {k{k{필라델피아}k}k}에 도착했을 때에는 600명 이상의 추종자가 따라왔다.
[4]| 열 명의 나병환자를 고친 일 외에는, {k{k{데가볼리}k}k}를 지나면서 전도하는 최근의 여행에서 어떤 기적도 일어나지 않았고, 이 {k{k{베레아}k}k} 전도여행에서는 이때까지 아무 기적도 일어나지 않았다. 이 시기는 복음이 기적 없이도 능력 있게 선포된 기간이었으며, 대부분의 경우에 {k{k{예수}k}k}께서 직접 참여하지 않았고, 심지어 사도들 없이도 이뤄졌다.
[5]| {k{k{예수}k}k}와 열 명의 사도는, 2월 22일 수요일에 {k{k{필라델피아}k}k}에 도착했고, 목요일과 금요일에는 최근의 여행과 활동으로 인한 피로를 풀면서 보냈다. 그 금요일 밤에 {k{k{야고보}k}k}가 회당에서 강론했으며, 다음 날 저녁에는 총회가 소집됐다. 그들은 {k{k{필라델피아}k}k}와 인근 마을들에서 복음이 잘 전파되는 것에 매우 기뻐했다. {k{k{다윗}k}k}의 심부름꾼들도, {k{k{팔레스틴}k}k} 전역에서 천국이 더 확장되고 있다는 소식뿐 아니라, {k{k{알렉산드리아}k}k} 및 {k{k{다마스커스}k}k}에서도 기쁜 소식을 가져왔다. 
[6]| {b{b{1. }b}b}{b{b{{k{k{바리새인과}k}k}}b}b}{b{b{ }b}b}{b{b{{k{k{아침}k}k}}b}b}{b{b{ }b}b}{b{b{{k{k{식사를}k}k}}b}b}{b{b{ }b}b}{b{b{{k{k{함}k}k}}b}b}
[7]| {k{k{아브넬}k}k}의 교훈을 받아들인, 매우 부자이면서 영향력 있는 어느 {k{k{바리새인}k}k}이 {k{k{필라델피아}k}k}에서 살았는데, {k{k{안식일}k}k} 아침 식사에 {k{k{예수}k}k}를 자기 집으로 초대했다. 이 무렵에 {k{k{예수}k}k}께서 {k{k{필라델피아}k}k}에 오리라는 소문이 퍼졌으며;그래서 큰 무리의 방문객이 {k{k{예루살렘}k}k} 및 다른 여러 곳에서 모여들었는데, 그들 중에는 {k{k{바리새인}k}k}도 많이 있었다. 따라서, 이 지도자들 가운데 약 40명과 몇 명의 율법사가, {k{k{주님}k}k}께 경의를 표하기 위해 마련된 이 아침 식사에 초대됐다. 
[8]| {k{k{예수}k}k}께서 {k{k{아브넬}k}k}과 이야기하면서 문 옆에 있는 동안에, 그리고 주인이 자리에 앉은 후에, {k{k{예루살렘}k}k}의{k{k{ }k}k}{k{k{바리새인}k}k} 지도자 가운데 하나이고 {k{k{산헤드린}k}k} 회원인 한 사람이, 습관대로 곧바로 들어가서 주인의 왼쪽 명예석에 앉았다. 그러나 이 자리는 {k{k{주님}k}k}을 위해 예비됐고, 오른쪽 자리는 {k{k{아브넬}k}k}이 앉게 돼있었으므로, 주인이 {k{k{예루살렘}k}k}의 {k{k{바리새인}k}k}에게 손짓해서 왼쪽 네 번째 자리에 앉도록 하자, 이 지체 높은 사람은 자기가 명예석에 앉지 못한 것 때문에 몹시 기분이 상했다.
[9]| 참석한 그들 대부분이 {k{k{예수}k}k}의 제자이거나 복음에 우호적이었으므로, 그들은 모두 곧 자리에 앉아서 저희끼리 대화 나누기에 여념 없었다. 다만 {k{k{주님}k}k}을 대적하는 자들만이, 식사 자리에 앉기 전에 손을 씻는 예식을 그가 준수하지 않았다는 사실을 알아챘다. {k{k{아브넬}k}k}은, 식사 시작 전에는 손을 씻었으나, 음식이 나오는 동안에는 씻지 않았다. 
[10]| 식사가 거의 끝날 무렵에, 오랫동안 만성병으로 고난당하다가 이제는 수종{水腫} 증세를 보이는 한 사람이 길에서 안으로 들어왔다. 이 사람은 신자였고, 최근에 {k{k{아브넬}k}k}의 동역자에게서 세례를 받았다. 그가 {k{k{예수}k}k}께 치유를 요청하지는 않았지만, 고난당하던 이 사람이, 자신을 밀치는 인파를 피하면서 {k{k{주님}k}k}의 관심을 끌어보려고 이 식사 자리에 들어왔다는 것을, {k{k{주님}k}k}은 잘 알았다. 이 사람은, 당시에 기적이 거의 실행되지 않는다는 것을 알았지만;아무튼, 자신의 딱한 상태가 {k{k{주님}k}k}의 동정을 살 수도 있을 것이라고 속으로 생각했다. 그리고 그가 틀리지 않았는데, 방에 들어서자, {k{k{예루살렘}k}k}에서 온 독선적인 {k{k{바리새인}k}k}과 {k{k{예수}k}k}께서 그가 들어오는 것을 알아차렸다. {k{k{바리새인}k}k}은, 이런 사람은 결코 이 방에 들어올 수 없다고 하면서 즉시 분노를 터뜨렸다. 그러나 {k{k{예수}k}k}께서 그 병자를 보고 매우 온화한 미소를 지었으므로, 그가 다가와서 바닥에 앉았다. 식사가 끝나자, {k{k{주님}k}k}은 동료 손님들을 바라보고, 수종증에 걸린 사람을 의미심장하게 잠깐 쳐다본 후에 말씀했다:“친구들아, {k{k{이스라엘}k}k}의 선생과 학식 있는 율법사들아, 내가 한 가지 질문을 너희에게 하고 싶다:병들어서 괴로워하는 자를 {k{k{안식일}k}k}에 치유하는 것이 합법적이냐, 아니냐?” 그러나 거기에 있던 자들은 {k{k{예수}k}k}를 너무 잘 알았으므로;잠자코 있었으며;그의 질문에 대답하지 않았다.
[11]| 그러자 {k{k{예수}k}k}께서는 앉아있는 병자에게 가서, 그의 손을 잡아 일으키며 말씀했다:“일어나 네 길을 가라. 네가 치유받기를 요청하지 않았지만, 나는 네 마음의 소원과 네 혼의 신앙을 안다.” {k{k{예수}k}k}께서는 그 사람이 방을 나서기 전에 자리로 돌아와서, 식탁에 앉은 그들을 향해 말씀했다:“내 {k{k{아버지}k}k}께서 이런 일을 하시는 것은, 천국에 들어오라고 너희를 유혹하려는 것이 아니라, 이미 천국에 들어온 자들에게 자신을 나타내시려는 것이다. 바로 그런 일을 하는 것이 {k{k{아버지}k}k}답다는 것을 너희도 알 수 있을 것인데, 왜냐하면, 너희 가운데 누구라도 자신의 애지중지하는 동물이 {k{k{안식일}k}k}에 우물에 빠지면, 즉시 가서 건져내지 않겠느냐?” 그러자 아무도 대답하려 하지 않았고, 무엇이든지 하시고자 하는 것을 그 주인이 분명하게 승낙했으므로, {k{k{예수}k}k}께서 일어나서 모든 참석자들에게 말씀했다:“형제들아, 너희가 결혼 잔치에 초대받거든, 높은 자리에 앉지 마라. 그렇게 하지 않으면, 아마 너보다 더 높은 사람이 초대됐기 때문에, 주인이 너에게 와서 그 손님에게 자리를 내주라고 요청할 것이다. 이런 경우에 너는 부끄러움을 당하면서 낮은 자리로 옮겨야 할 것이다. 지혜의 일종일 것인데, 잔치에 초대받거든, 잔칫상에 가서 제일 낮은 자리를 찾아서 거기 앉아라. 그러면 주인이 손님들을 훑어보다가 네게, ‘친구여, 왜 가장 낮은 자리에 앉았습니까? 와서 높은 자리에 앉으십시오’라고 말할 것이니;이렇게 되면 다른 손님들 앞에서 영화로운 자가 될 것이다. 자신을 높이려는 자는 누구든지 낮아질 것이요, 반면에 자신을 낮추려는 자는 높아지리라는 것을 잊지 말아라. 그러니, 저녁 식사나 만찬을 베풀 때, 친구나 형제, 너와 가까운 사람, 또는 부유한 이웃들만 항상 청하지 마라. 그들은 답례로 너를 잔치에 초대할 것이므로, 네가 모든 보상을 받게 될 것이다. 잔치를 베풀 때, 가난한 자, 불구자, 눈 먼 자들을 가끔 초대해라. 이렇게 하면 네 마음 속에 복을 받을 것이니, 절름발이와 불구자들은 너희의 사랑의 섬김에 대해 갚을 수 없다는 것을 네가 잘 알기 때문이다.”
[12]| {b{b{2. }b}b}{b{b{{k{k{큰}k}k}}b}b}{b{b{ }b}b}{b{b{{k{k{만찬의}k}k}}b}b}{b{b{ }b}b}{b{b{{k{k{비유}k}k}}b}b}
[13]| {k{k{바리새인}k}k}의 아침 식탁에서 {k{k{예수}k}k}의 말씀이 끝나자, 참석한 율법사들 가운데 하나가, 침묵을 깨고자 아무 생각 없이 말했다:“{k{k{하나님}k}k} 나라에서 빵을 먹게 되는 사람이 복 받은 자입니다”--이것은 당시에 널리 알려진 말이었다. 그러자 {k{k{예수}k}k}께서 비유를 말씀했는데, 그에게 우호적인 주인까지도 고민할 수밖에 없도록 만들었다. {k{k{예수}k}k}께서 말씀했다:
