[1]| 제187편{{{br}}} 십자가형
[3]| 두 강도가 준비된 후에, 병사들은 백부장{百夫長}의 인솔 하에 십자가형{十字架刑}이 있을 현장으로 출발했다. 열두 명의 이 군인을 책임 맡은 백부장은, 전날 {k{k{겟세마네}k}k}에서 {k{k{예수}k}k}를 체포할 때 {k{k{로마}k}k} 병사들을 인솔하고 갔던 그 지휘관이었다. 십자가에 못박히는 각 사람마다 네 명의 군인이 배정되는 것이 {k{k{로마}k}k}의 관례였다. 두 강도는 십자가형에 처하기 위해 끌려가기 전에 절차대로 채찍질을 받았지만, {k{k{예수}k}k}께서는 육체의 형벌은 더 이상 받지 않았으며;지휘관은 그가 유죄판결 전에 맞은 것이기는 했지만, 그것으로 이미 충분하게 채찍에 맞았다고 생각했다.
[4]| {k{k{예수}k}k}와 함께 십자가형을 당한 두 강도는 {k{k{바라바}k}k}의 동역자였고, 그가 {k{k{빌라도}k}k}의 {k{k{유월절}k}k} 특사{特赦}로 풀려나지 않았다면, 그들의 지도자와 함께 나중에 사형 당했을 것이다. 그리하여 {k{k{예수}k}k}께서는 {k{k{바라바}k}k} 대신 십자가에 달렸다.
[5]| 이제 {k{k{예수}k}k}께서 하려는 것은 십자가에서 죽음을 감수하는 것이었고, 자유의지로 그렇게 했다. 그는 이런 체험을 예고하면서 말씀했다:“{k{k{아버지}k}k}께서는 내가 내 생명을 기꺼이 버리기 때문에 나를 사랑하고 격려하신다. 그러나 나는 그것을 다시 취할 것이다. 아무도 내 생명을 빼앗지 못한다--내가 스스로 버린다. 나는 그것을 버릴 권세도 있고, 다시 취할 권세도 있다. 나는 그런 계명을 내 {k{k{아버지}k}k}로부터 받았다.”
[6]| 이날 아침 아홉 시 조금 전에, 병사들이 집정관 관저에서 {k{k{골고다}k}k}를 향한 길로 {k{k{예수}k}k}를 끌고 갔다. {k{k{예수}k}k}를 몰래 동정하는 많은 사람도 그들을 따라왔지만, 200명이 넘는 이 무리 대부분은 그를 대적하는 자들이거나, 아니면 십자가형을 지켜봄으로써 짜릿한 충격을 즐기려는 호기심 많은 한심한 자들이었다. {k{k{유대인}k}k} 지도자들 중에서는 단지 몇 명만이, 십자가 위에서 죽는 {k{k{예수}k}k}를 보려고 나왔다. 그들은 {k{k{빌라도}k}k}가 그를 {k{k{로마}k}k} 군인에게 넘겨줬다는 것과, 그가 사형 언도를 받았다는 것을 알면서, 성전에서 회의하느라 바빴으며, {k{k{예수}k}k}의 추종자들을 어떻게 처리할 것인지에 대해 의논했다. 
[7]| {b{b{1. }b}b}{b{b{{k{k{골고다로}k}k}}b}b}{b{b{ }b}b}{b{b{{k{k{가는}k}k}}b}b}{b{b{ }b}b}{b{b{{k{k{길}k}k}}b}b}
[8]| 집정관 관저의 안마당을 떠나기에 앞서, 병사들이 가로 들보를 {k{k{예수}k}k}의 어깨에 메웠다. 사형수에게 가로 들보를 지게 해서 십자가 형장까지 운반해 가도록 하는 것이 관습이었다. 그런 사형수는, 십자가 전체를 운반하는 것이 아니라, 비교적 짧은 이 나무만 지게 했다. 세 개의 십자가를 위한, 길고 똑바로 세워질 나무들은 이미 {k{k{골고다}k}k}로 운반됐고, 군인과 죄수들이 도착할 무렵에는 벌써 땅 속에 견고히 세워져 있었다.
[9]| 지휘관은 관습에 따라서 행렬을 인도했고, 죄인의 이름과 그들이 유죄 판결 받게 된 죄의 종류를 그 위에 숯으로 기록한, 하얀 색의 작은 칠판을 들고 있었다. 백부장은 두 강도를 위해 그들의 이름을 쓴 후에, 그 밑에 “{k{k{강도}k}k}”라는 한 마디를 적은 게시판들을 지니고 있었다. 죄수가 가로 들보에 못박히고 똑바로 세워진 나무 위 제자리에 끌어 올려진 후에는, 죄수의 머리 바로 위 십자가 꼭대기에 이 게시판을 못으로 박아 놓아서, 그 사형수가 무슨 죄로 십자가형에 처해졌는지, 보는 사람마다 알 수 있도록 하는 것이 관례였다. {k{k{예수}k}k}의 십자가에 붙이기 위해 백부장이 가져온 죄패{罪牌}에는, {k{k{라틴어}k}k}, {k{k{그리스어}k}k}, 및 {k{k{아람어}k}k}로 {k{k{빌라도}k}k}가 직접 기록했으며, “{k{k{나사렛}k}k} {k{k{예수}k}k}--{k{k{유대인}k}k}의 {k{k{왕}k}k}”이라고 적혀 있었다.
[10]| {k{k{빌라도}k}k}가 이 패를 쓸 때, 아직 거기에 남아 있던 {k{k{유대인}k}k} 권세자 몇 사람이, {k{k{예수}k}k}를 “{k{k{유대인}k}k}의 {k{k{왕}k}k}”이라고 칭하는 것에 대해 강력히 항의했다. 그러나 {k{k{빌라도}k}k}는 그런 죄명{罪名}이 그에게 유죄 판결을 내리도록 한 기소 내용의 일부임을 그들에게 상기시켰다. {k{k{유대인}k}k}이 {k{k{빌라도}k}k}의 마음을 바꾸도록 할 수 없음을 알게 되자, 적어도 그 내용이, “그가 ‘나는 {k{k{유대인}k}k}의 왕이라’고 했다”로 변경돼야 한다고 주장했다. 그러나 {k{k{빌라도}k}k}는 흔들리지 않았으며;그 내용을 바꾸려 하지 않았다. 계속 간청하는 그들에게 오직 “내가 써야 할 것을 썼다”고 대답했다.
[11]| 일반적으로, 더 많은 사람이 사형수를 볼 수 있도록 하기 위해, 가장 먼 길로 돌아서 {k{k{골고다}k}k}로 가는 것이 관습이었으나, 그들은 이날 성의 북쪽으로 나가는 {k{k{다마스커스}k}k} 문으로 가는 가장 짧은 길로 갔고, 이 길을 따라서 곧 {k{k{골고다}k}k}에 도착했으며, 그곳은 {k{k{예루살렘}k}k}에 있는 공식 십자가 형장이었다. {k{k{골고다}k}k}를 지나가면 부자들의 저택이 있었고, 길 반대편에는 많은 부유층 {k{k{유대인}k}k}의 무덤이 있었다.
[12]| 십자가형은 {k{k{유대인}k}k}이 처벌하는 방법이 아니었다. {k{k{그리스인}k}k}과 {k{k{로마인}k}k}은 {k{k{페니키아인}k}k}으로부터 이 처형 방법을 배웠다. 아주 잔인한 {k{k{헤롯}k}k}도 십자가형을 채택하지 않았다. {k{k{로마인}k}k}은 결코 {k{k{로마}k}k} 시민을 십자가형에 처하지 않았으며;오직 노예와 피지배자들만 이런 수치스런 방법으로 사형에 처해졌다. {k{k{예수}k}k}께서 십자가에 달린 지 꼭 40년 후에 {k{k{예루살렘}k}k}이 포위돼 있는 동안, {k{k{골고다}k}k} 전체가 매일같이 수천 개의 십자가로 뒤덮였고, {k{k{유대}k}k} 종족의 활짝 폈던 영화{榮華}가 거기서 사라져갔다. 이 시대에 뿌려진 씨앗에 대한, 정말로 형편없는 수확이었다.
