[1]| 제194편{{{br}}} 진리의 영이 증여됨
[3]| 한 시 쯤에, 120명의 신자가 함께 기도하고 있을 때, 그들은 모두 방 안에서 어떤 이상한 존재를 의식하게 됐다. 동시에 이 제자들은 모두, 영적 기쁨, 안도감, 그리고 확신을 주는 새롭고 심오한 느낌을 의식하게 됐다. 이렇게 영적 힘을 새롭게 의식하게 된 후에, {k{k{예수}k}k}께서 죽음에서 살아났다는 기쁜 소식과 천국 복음을 나가서 공개적으로 전파하려는, 강한 충동이 즉시 뒤따랐다. 
[4]| {k{k{베드로}k}k}가 일어서서, 이것은 {k{k{주님}k}k}께서 자신들에게 약속했던 {k{k{진리의}k}k} {k{k{영}k}k}이 도래했다는 증거임이 분명하다고 주장하면서, 자신들에게 위임된 기쁜 소식을, 성전으로 가서 전파하기 시작하자고 제안했다. 그리고 그들은 {k{k{베드로}k}k}가 제안한 대로 했다.
[5]| 이 사람들은, {k{k{하나님}k}k}이 아버지시요 사람은 아들신분이라는 것이, 자신들이 전도해야 할 복음이라는 것을 훈련받고 교육받았었지만, 영적 흥분과 개인적 승리감을 느낀 이 순간에, 이 사람들이 생각할 수 있는 최고의 사건, 가장 엄청난 소식은 부활하신 {k{k{주님}k}k}이라는 {i{i{사실}i}i}이었다. 그렇게 해서 그들은 위에서 주어진 능력을 부여받아, 사람들에게 기쁜 소식--곧 {k{k{예수}k}k}를 통한 공평한 구원--을 전도하면서 나아갔지만, 복음의 메시지 자체를, 복음과 관련된 어떤 사실로 대치시키는 잘못을, 무심코 저지르고 말았다. 이런 실수에서 {k{k{베드로}k}k}는 자기도 모르게 앞장섰으며, 다른 사람들은 그를 따라갔고, 기쁜 소식의 개정판으로부터 새 종교를 창시한 {k{k{바울}k}k}에게 이어졌다.
[6]| 천국 복음은:{k{k{하나님}k}k}이 아버지시라는 사실, 그리고 이와 함께 그 결과로 사람이 아들신분이요 형제관계라는 진리다. 그날 이후로 생겨난 {k{k{그리스도교}k}k}는:부활하고 영화롭게 된 {k{k{그리스도}k}k}와 신자로서_친교하는 체험과 관련하여, {k{k{하나님}k}k}이{k{k{ }k}k}{k{k{주}k}k} {k{k{예수}k}k} {k{k{그리스도}k}k}의 {k{k{아버지}k}k}라는 사실이다. 
[7]| 영이_주입된 이 사람들이, {k{k{주님}k}k}을 죽이려 하고 그의 교훈의 영향력을 없애버리려고 했던 세력들에 대해 승리를 거뒀다는 느낌을 표현할 이 기회를 포착해야 했던 것은 당연하다. 이런 시기에, {k{k{예수}k}k}와 함께 가졌던 개인적 관계를 기억하면서, {k{k{주님}k}k}이 여전히 살아있고 자신과의 친구 관계가 끝나지 않았으며, 그의 약속대로 그 영이 정말로 도래했다는 확신으로 감동되는 것이 더 쉬운 일이었다.
[8]| 이 신자들은, 다른 세계, 즉 기쁨, 능력, 및 영광의 새로운 생활로 자신들이 갑자기 전환됐음을 느꼈다. {k{k{주님}k}k}은 그들에게, 천국이 능력으로 도래할 것이라고 말씀했었으며, 그들 가운데 더러는, 그가 무엇을 의미했는지 분별하기 시작했다.
[9]| 그리고 이런 모든 것이 고려되고 나면, 어떻게 해서 이 사람들이, {k{k{하나님}k}k}이 {k{k{아버지}k}k}시고 사람이 형제관계라는 초기 메시지 내용 대신, {i{i{{k{k{예수}k}k}}i}i}{i{i{에}i}i} {i{i{관한}i}i} {i{i{새로운}i}i} {i{i{복음}i}i}을 전파하게 됐는지 이해하기 쉬워진다.
[10]| {b{b{1. }b}b}{b{b{{k{k{오순절}k}k}}b}b}{b{b{ }b}b}{b{b{{k{k{설교}k}k}}b}b}
[11]| 사도들은 지난 40일 동안 숨어 있었다. 이날은 공교롭게도 {k{k{유대인}k}k}의 {k{k{오순절}k}k} 축제일이었고, 세계 각지에서 수천 명이 {k{k{예루살렘}k}k}을 방문했다. 이 축제를 위해 도착한 사람도 많았지만, 대부분은 {k{k{유월절}k}k} 이후에도 계속 성에 머물고 있었다. 두려워하던 사도들은, 이제 숨어 있던 상태에서 벗어나 담대하게 성전에 나타났고, 부활한 {k{k{메시야}k}k}라는 새로운 메시지를 거기서 전도하기 시작했다. 그리고 모든 제자도, 통찰력과 능력을 지닌 어떤 새로운 영적 재능을 받았다는 것을 마찬가지로 의식했다.
[12]| {k{k{주님}k}k}이 성전에서 마지막으로 가르쳤던 바로 그 자리에 {k{k{베드로}k}k}가 서서 열정적으로 호소하여, 2천 명 이상의 혼을 얻는 결과를 가져오는 감동적인 연설을 한 것은 두 시쯤이었다. {k{k{주님}k}k}은 떠났지만, 그들은 그에 관한 이 이야기가 사람들에게 큰 능력을 발휘한다는 것을 순간적으로 발견했다. 그들이 전에 {k{k{예수}k}k}께 헌신했던 것이 옳았음을 입증하는 동시에, 사람들이 그를 믿지 않을 수 없게 만드는 이야기를 더욱 선포하도록, 계속 마음이 끌린 것은 당연했다. 이 집회에 참석한 여섯 사도는:{k{k{베드로}k}k}, {k{k{안드레}k}k}, {k{k{야고보}k}k}, {k{k{요한}k}k}, {k{k{빌립}k}k}, 및 {k{k{마태}k}k}였다. 그들은 한 시간 반 이상 이야기했고, {k{k{그리스어}k}k}, {k{k{히브리어}k}k}, 그리고 {k{k{아람어}k}k}로 메시지를 전했으며, 또한 그들이 쉽게 말할 수 있었던 다른 방언들로도 몇 마디씩 설교했다.
[13]| {k{k{유대인}k}k} 지도자들은, 사도들의 대담함에 몹시 놀랐지만, 그들의 이야기를 믿는 많은 사람 때문에 그들을 방해하지 못했다.
[14]| 네 시 반쯤에, 2천 명 이상의 새 신자가 사도들을 따라서 {k{k{실로암}k}k} 연못으로 내려갔고, 거기서 {k{k{베드로}k}k}, {k{k{안드레}k}k}, {k{k{야고보}k}k}, 및 {k{k{요한}k}k}이 {k{k{주님}k}k}의 이름으로 그들에게 세례를 줬다. 그리고 그들은 날이 어두워서야 이 대중에게 세례 주기를 마칠 수 있었다.
